text,label
".@LSC_Kingwood opening shelter at 930PM.  No water/food yet, but coming.  20000 Kingwood Drive.  #shelter #harvey @HoustonOEM @ReadyHarris",relocation
To the countless first responders and volunteers assisting #flood victims in the #Houston area -- THANK YOU! #Harvey https://t.co/hsDAY5AJXV,other
"donations for Harvey red cross#Harvey # donation # red-cross # $10 # hurricane Harvey # Texas # Houston # https://t.co/LDQ7Zm5owy",donation
And the South Texas Blood and Tissue Center is seeking blood donations. #hurricaneharvey #houstonflood,donation
The fast &amp; easy way to help those impacted by #Harvey is with a $$ donation to @RedCross @SalArmyDFW  @ntfb_Ñ_ https://t.co/T17OmgXNVR,donation
"Meet the Cajun Navy, a group of volunteers using their own boats amid #Harvey flooding to rescue those in need_Ñ_ https://t.co/lPYD9ieRC4",volunteering
"Want to help those affected by #HurricaneHarvey? You can donate blood, food, or other items: https://t.co/WrPUAE71Dd",donation
"@DannySpewakWGRZ @WGRZ @HoustonFoodBank @abc13houston @HoustonChron @WGRZ  - Buffalo area boys, raising money for t_Ñ_ https://t.co/VFX8KKFauH",donation
Help support the victims of #HurricaneHarvey by donating blood on 9/5 on Busch campus https://t.co/zxleCa2ui0 #RutgersAlumni #RUGivesBack,donation
Here are some of the many ways to help the displaced pets impacted by #Harvey here in San Antonio. @COSAACS https://t.co/UVrkbiIquy,other
"Retweeted Katy ISD (@katyisd):Katy ISD opening shelters for families impacted by flooding. #Harvey #katyisd... https://t.co/GwjfshHFzF",relocation
Had to donate dog food for forgotten four-legged #harvey victims #HarveyRelief #Harvey2017 https://t.co/ZQjeUJe1UH,donation
"Donation drive for #Harvey victims at Hilton Anatole, volunteers will be packing up individual bags of items tonigh_Ñ_ https://t.co/5hE6ocuSyB",volunteering
soon to be filled with people displaced by #Harvey https://t.co/LcI1Ug1oR2,relocation
Consider helping out our furry friends in Texas! The @MuncieACS is collecting donations and supplies to send to she_Ñ_ https://t.co/AKM4YTjR0b,donation
The @ASPCA is on the ground ready to assist displaced animals affected by #Harvey. Help fund their life-saving work: https://t.co/6LhPVoB07f,other
"Urgent need for volunteers, donations: How you can help victims of #HurricaneHarvey https://t.co/SNcTUOTMy0 @ksatnews #sanantonio #harvey",volunteering
"Urgent need for volunteers, donations: How you can help victims of #HurricaneHarvey https://t.co/SNcTUOTMy0 @ksatnews #sanantonio #harvey",volunteering
Power outages/flooding for thousands affected by #Harvey. Never salvage foods from flood water. #FoodSafety_Ñ_ https://t.co/S6gHMsGXh5,other
".@HoustonISD invites groups &amp; schools to send clothes, school supplies, food and water for their students #Harvey https://t.co/67rD0IHs0j",donation
Is .@RedCross in need of blood donations for #HurricaneHarvey ?,donation
"If u retweet this, you'll have helped more people in Houston than Trump has.Text HARVEY to 90999 to make a $10 donation redcross #Harvey",donation
"How to Help the @RedCross Respond to #Harvey#RedCross is accepting monetary/blood donations #houstonflood https://t.co/BMoPT9VoY9",donation
Looking for ways to help those impacted by #HurricaneHarvey? One way is to give blood @WillYouGive. Info &amp; sign-up:_Ñ_ https://t.co/luau1K6CeI,donation
"@chrisbrown we have families that need a hotel to stay at warm food and clothes, let us know if you can help. #helpforhouston #Harvey",relocation
"Shelter is looking for more volunteers for evening shift, after 6PM at #GRB. @fema is here, helping people register_Ñ_ https://t.co/prcLHkoePu",volunteering
#HurricaneHarvey #Harvey #volunteers https://t.co/ByeKbxmqqK,volunteering
"Folks @safoodbank were surprised, grateful that Pres. Trump thanked volunteers in his tweet. @COSAGOV @News4SA_Ñ_ https://t.co/MtLmZaHB7C",other
"More than 30,000 people in Texas expected to be placed in temporary shelters due to Storm #Harvey - FEMA https://t.co/WGAGLFzI0a",relocation
Come out to the St. Charles Room today until 4:30 p.m. for a blood drive for Hurricane #Harvey. Learn more:_Ñ_ https://t.co/bXnJJ0eKrz,donation
"I am unable to donate blood due to a bleeding disorder, but I am able to donate plasma and will do!#HurricaneHarvey_Ñ_ https://t.co/qeRDoIaEsj",donation
"HOW TO HELP WITH #HARVEY: Text the word ""HARVEY"" to 90999 and make a $10 donation.Every little bit helps._Ñ_ https://t.co/9quoyauh5Q",donation
The Red Cross of NW Florida tells us it has deployed 13 volunteers at this time to TX and LA for #Harvey assistance.,volunteering
@realDonaldTrump #fundraising for #displaced #pets from #hurricane #harvey Pets are being brought to #DC for_Ñ_ https://t.co/5Gemm4sVUD,donation
"Sights from Rockport this morning. No estimate yet on property damage, or displaced people. #Harvey https://t.co/43kOn7UeZC",relocation
"Reminder: ""Thoughts &amp; prayers"" is a lazy way of showing you care. It does nothing. It means nothing. Send money, water, food. #Harvey",donation
"A little water is seeping through the floor. Still have power and food.  Can't complain compared to others. #Harvey #Houston",other
#CajunNavy #volunteers hitting an unexpected problem in the #Harvey-flooded city_Ñ_ residents declining to evacuate https://t.co/VVGGUvFwUw,relocation
"If you'd like to donate an accessory or clothing piece to raise money for #Harvey victims, please read this article_Ñ_ https://t.co/Rz0Jrj7pGT",donation
I donated to help my hometown &amp; you should too - any size donation will help! Please help the #Harvey victims - gon_Ñ_ https://t.co/gnvt1KrnGT,donation
"Support, prayers, donations, anything you can do to help, as rains aren't going to abate for some time. #Harvey_Ñ_ https://t.co/eV7odMjv77",donation
"#ATX #Austin #CentralTexas #Harvey _ªÓâ blood needed _ªÓâAustin --&gt; https://t.co/JGrczkT5QI",donation
"#Beyonce donated so much money to her hometown,  #Houston,  they had to keep the amount hidden. #Harvey#Hurrica_Ñ_ https://t.co/Pihk6tdEi6",donation
"Thank you to first responders, community volunteers, and businesses who are helping evacuees. Stay safe, friends!_Ñ_ https://t.co/l2MhprePyo",other
#runge #texas #harvey #displacedpets #pets #missing https://t.co/oKS7tzeunF,other
While the country is trying to help #TexasHurricane #Harvey DOUCHEBAG Al Sharpton is planning a march to Washington to make MO _ªêç money,other
Here are some of the many ways to help the displaced pets impacted by #Harvey here in San Antonio. @COSAACS https://t.co/UVrkbiIquy,donation
"Please help #Texas and all those affected by #Harvey. Donate blood, money, baby/hygiene products, food, school supplies. #redcross #stbtc",donation
"I'm more impressed by ppl who donate goods, money, services to #Harvey victims but *don't* broadcast it on social media.",other
"#FYI #hurricaneHarveyEnrollmentGuidance  If you and your family have been displaced by #Harvey, here's #TEAs... https://t.co/rVt1bhELhs",relocation
Monetary donations are the best way to help now with #Harvey recovery efforts.  Visit https://t.co/giGnNj99dC for m_—_ https://t.co/PY85jQpJsk,donation
"@ABC ""I want to have one"" -Trump referring to meals being made for the people displaced by #Harvey &amp; who probably h_—_ https://t.co/IKs5sJNL84",other
"@cnn @AnaCabrera   You should tell people (in other states) how they can help...donate blood, money, time etc. #HurricaineHarvey #HARVEY",donation
"If you can, please help your fellow humans by giving money to charity's serving the victims of #Harvey. Here is a g_—_ https://t.co/DTQn37QXGj",donation
"MT""Texas can handle anything?"" That's dogwhistle code 4 ""find the money on your own?OMG Where's the #Harvey help money?Hiding in border wall",other
Anybody know @JJWatt ??? 400 families in #Houston 5th Ward need food. We ran out at distribution center. #Harvey #HoustonStrong,donation
VIDEO: Hawk takes shelter in taxi during Hurricane #Harvey https://t.co/w6LGm8RE3W https://t.co/HsdPBwkNTY,other
Participating in #DineOutForHouston Day tomorrow to give 5% of the day's proceeds to raise money to send to Texas_—_ https://t.co/qKQubNsnlX,donation
"Looking for somewhere to take shelter? (If you know we're missing one, let us know): https://t.co/VMbVA3yDra #SETXNews #Harvey",relocation
This is awesome!  Thanks for all who volunteers at @safoodbank over the weekend and today to help those impacted by_—_ https://t.co/4gJ12XKSQ3,volunteering
"#Harvey Why isn't trump ordering the use of drones to deliver water, food, medical, first aid kits, communication devices, GPS trackers,etc?",donation
This is what is great about this city. All local volunteers. #Harvey https://t.co/47xZt8TiY2,volunteering
Journalists prepping for #Harvey: Generators. Sleeping bags. Trucks full of food and other supplies https://t.co/Pe0j8k3zbX,other
Small piece of good news--Harris County first responders no longer seeking volunteers with boats for rescues #Harvey https://t.co/hveF5XWEOG,volunteering
"Here are a list of shelters in place right now for Harris County. #harveyhttps://t.co/2qyOMDKABq",relocation
"Seriously y'all, we have so much to give out and we still need volunteers to help! 8823 Frey Rd 77034Retweet!_—_ https://t.co/TGqQxkQjAY",volunteering
"Happy to host 71 students &amp; 1 dog from @AggiesByTheSea in College Station 4 shelter, food, &amp; supplies in the midst of #Harvey. #AggieFamily",relocation
Want to help #Harvey victims? .@SamaritansPurse's disaster relief unit is taking donations &amp; volunteers here: https://t.co/e9NJjk6NDp,volunteering
Second training session of the day at @RedCrossMSouth for volunteers wanting to help with #Harvey aftermath. https://t.co/WpTlEQ7pie,volunteering
Our hearts are w/ the people &amp; pets in Texas. Tips w/ ways to help the animals displaced by #Harvey https://t.co/khw1VcA5fR,other
Please share. Urgent need for blood to help #HurricaneHarvey relief efforts. We_—Ère asking eligible donors to donate_—_ https://t.co/PSd77pWTT4,donation
"In Texas, @HumaneSociety is working to clear shelters, so displaced and abandoned animals, due to #Harvey, can have a place to stay. @rtv6",relocation
"If u retweet this, you'll have helped more people in Houston than Trump has.Text HARVEY to 90999 to make a $10 donation redcross #Harvey",donation
#Harvey Relief: Local Red Cross volunteers head to Texas #FirstAid https://t.co/LfdoJStZDA,volunteering
I _ù_´Ùè this story. Dog finds dog food after hurricane and carries it home. #Houston #Harvey https://t.co/M3MA8DZpk3,other
John Sanchez raised money and has made 400 chicken tacos for first responders and #Rockport residents. #stxwx_—_ https://t.co/n9ymxWVJqT,donation
Houston Mayor orders curfew nightly 10 pm - 5 a.m. because of a few looters. So what about volunteers rescuing people by boat etc.? #Harvey,volunteering
It's all about being prepared! Love this! #Dog spotted carrying bag of dog food after #Harvey https://t.co/pN7zkCS5Vk #dogcarryingdogfood,other
SpaghettiOs and mac and cheese. That's flood food. Or to quote @cillabagley let's be 10 years old #Harvey,other
Experts &amp; volunteers. I call them HEROES. They saved lives in catastrophes like this. God bless them. _ù_´Ùè_™Èè_™è__—_ https://t.co/dXgEBPdFGB,volunteering
.@AnimalPlanet_—Ès Surviving Harvey: Animals After the Storm highlights rescuers helping animals displaced by #Harvey_—_ https://t.co/awRxICIbxE,volunteering
on #Harvey #LIVE Talking the latest #Cowboys headlines and raising money  those affected by #HurricaneHarvey Rt https://t.co/ZHHO9csFM5,donation
"God bless these brave Texans, the volunteers, first responders and the reporters telling their stories. #Harvey_—_ https://t.co/s4zdHCHUvg",volunteering
"Want to help out Texas with #Harvey recovery? Go to @redcross, @SalvationArmyUS, or @UnitedWay to make a monetary donation. #TexasStrong",donation
"The need is real, amazing volunteers and national support. #HoustonStrong #HurricaneHarvey #Harvey #TexasFlood_—_ https://t.co/zyphShPIdr",volunteering
Just donated 15 gallons of blood to the @RedCross for #Harvey relief,donation
".@MattressMack has opened his stores to displaced #Harvey families, their pets &amp; members of the Texas National Guar_—_ https://t.co/GHNiHd28my",relocation
"Before salvaging canned food from #Flood water, make sure it's safe! Tips on how 2 safely handle canned goods in fl_—_ https://t.co/3nth0XaQ4k",other
Hundreds #turn to crowdfunding to raise money for #victims of #Harvey https://t.co/C0UkEUUm8R @newnewspage,donation
"The people of Texas need our help and our kindness. Text HARVEY to 90999 to make a $10 donation @RedCross#harvey #hurricaneharvey #houston",donation
JUST IN: @innoutburger mobile kitchen downtown and ready to feed 100s of volunteers at convention center that is no_—_ https://t.co/r9LauFdGdi,volunteering
@FoxNews @KellyannePolls ....... since you're giving ALL the money raised from the sale of those 45 baseball caps t_—_ https://t.co/GIvEITIz7K,donation
We're helping organize a supply drive to help horses &amp; caretakers displaced by #Harvey. More info:_—_ https://t.co/vjT1em1rN4,donation
"More than 30,000 people in Texas expected to be placed in temporary shelters due to Storm #Harvey - FEMA https://t.co/WGAGLFzI0a",relocation
Safe + dry now at friends_—È house. Thanks again to the rescue boat people + the kind volunteers at Morton Ranch HS _™êÀ #Harvey #HoustonFlood,volunteering
#Cajunnavy ppl stranded at Houston airport. No food or water. Natl guard can't get to them. Please help! #Harvey https://t.co/OTwEddXKIL,other
What you dont realize is people are actually clearing HEB &amp; Walmart shelves of food/water to prepare for Mayweather v. McGregor. #Harvey #TX,other
