,text
0,"No blood shed, no loss of heart #49and1 #harvey"
1,"@BrentYoungblood @warlock7506 Because of #Harvey, maybe his mind was on all the recruits he landed at UT 🤷🏽‍♂️"
2,"#np Hurricane #Harvey Party!! Kinda gets your blood racing. Disaster Response!!

Standing by, chillin' with... https://t.co/qIPfxFVJQr"
3,I love it! The bloodthirsty #MSM #media is already salivating for body counts from Texas officials. #Harvey
4,"#ATX #Austin #CentralTexas #Harvey 
🔴 blood needed 🔴Austin --&gt; https://t.co/JGrczkT5QI"
5,#denton #dentontx Give blood for #Harvey https://t.co/CX3agGiEwU
6,Give blood. #Harvey. #khou #HouNews https://t.co/RYRbkzl3AO
7,Want to help Hurricane #Harvey survivors? Donate blood. Many patients are being relocated to DFW area.... https://t.co/rwGwQhEa6C
8,#SanAntonio blood donations needed to sustain #Harvey evacuees. Find a station near you https://t.co/gyUe9IdP3y
9,"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx"
10,Southside Virginia can help the American Red Cross by donating blood.  Hope to see you on the 11th. #Harvey https://t.co/1Ux5gAv523
11,"Thinking of everyone in hurricane #Harvey s path. If I can donate blood, please give it. If you can donate clothes,… https://t.co/R2su5hoYOW"
12,@bloodless_coup Only if #Antifa is pretending to defend against Neo-Nazis in the vacant streets today...… https://t.co/CzNSGIwhCw
13,Having ridden out a class 3 hurricane before &amp; came out lucky I'd say anyone who stays is bloody stupid. #Harvey
14,It's always a #Harvey that brings peace and power to my blood
15,"President @realDonaldTrump 

There will be blood on your hands if any human beings perish by not having equal access to safety from #Harvey"
16,"#Harvey is Drumpf's #Katrina.
Denying science, deriding scientists, defunding @NOAA, @NWS, ... - blood is on his ha… https://t.co/0a6i8jWAz8"
17,Donating blood wasn't part of gishwhes this year but please consider donating! Especially those in the U.S. (great karma!) #Harvey #GISHWHES
18,"#harvey Hey guys, I'm in a good spot so please don't worry. Volunteer if you can, give blood, foster a shelter animal, do what you can"
19,This makes my blood boil. Evacuation should have been mandatory. #Harvey https://t.co/2vrqOWcn2H
20,"People can give blood. Especially those, like me, who are a type O. #Harvey https://t.co/zXVCHb59h5"
21,#Harvey #Harvey2017 #Harveystorm #Texas #Trump .@realdonaldtrump may end up having blood on his hands https://t.co/jpZdg4yMeb
22,#Harvey: Cold-blooded critters cruising in drop-top coffins (sorta like our states' politicians) #StaySafeTexas https://t.co/yiintW7w11
23,Donating w Team @OKCPS - @JuanitaDaughe17 (my mom) would be proud!#HurricaneHarvey @okblood  #Harvey… https://t.co/mahx8L2pv5
24,"GOOD LUCK?? What the bloody Hell?? Good luck? #Texas #Harvey 
I, a non Trumper, is praying for everyone, and hope I… https://t.co/QlK0tiMGFf"
25,@Idaly_C02 Pray for #Harvey. We are about to give him a bloody nose.
26,OKCPS donating ahead of #HurricaneHarvey!  Join us!  All blood types needed.  @okblood  #Harvey #OklahomaStandard… https://t.co/5NFF97evQZ
