,text
0,"The railroad camps were Victoria, Inez, Edna, Louise; when they ran out of daughters' names, the last was called El… https://t.co/CoOfcYfRDt"
1,"While TX preps for #Harvey, @POTUS pardons a racist who compared his prison camps for hispanics to concentration camps"
2,"We all know that if Obama was still Prez, FEMA response to #Harvey would have been called a takeover of Texas. #femacamps #conspiracynuts"
3,"will the folks displaced by #Harvey end up in Obama's secret FEMA camps, or will those poor people finally be released?"
4,"Texans who were dissing FEMA while Obama was president now happy as fuck to be entering their re-education camps. 

Yeah, I said it.
#Harvey"
5,Are there any bands that lost everything to #Harvey?  Tweet pics of damaged gear/merch and links to your bandcamps when all this clears up.
6,#RedCross holding area boot camps for potential #Harvey volunteers https://t.co/VzsAa2yfr3 via @timesunion #AlbanyNY #NYS #HousonFloods
7,"I think Trump heard #JoeArpaio was running concentration camps and was like, he's gotta be a Nazi. #Harvey #News"
8,"#Harvey evacuees staying in East Texas church, hotels, campsites https://t.co/0W34Sw2WNe 419314/ https://t.co/Xed6ZRH1Nq"
9,Jewish summer camps reopen to host #Harvey victims https://t.co/4boExGuOej
10,"Feel better about #HARVEY victims now that I have @realDonaldTrump collectible #USA and #FLOTUS camps
#impeachtrump

https://t.co/3AL16pcqlx"
11,#Harvey: Texas Jewish summer camps reopen to host #Houston victims https://t.co/HN5WVzp23W https://t.co/YMqdXVa7bi
12,The Jewish summer campsites are located further north and west of us and are opening for #Harvey evacuees. https://t.co/okmkmZlOFt
13,"5 million meals so far. Dear right-wingers, these were the FEMA camps you were afraid of.  https://t.co/j8ED3GMdE4 @JimmyDoreShow #Harvey"
14,This is what we do: Jewish summer camps have reopened to house #Harvey refugees. https://t.co/0Ht2R9bNMe
15,Jewish summer camps in Texas serving as shelter for #Harvey victims https://t.co/nrL1KLOxMi
16,"Jewish summer camps in Texas opening back up as shelters for Hurricane #Harvey victims 
https://t.co/tD3bJFFcHh"
17,Jewish summer camps in Texas opening back up as shelters for Hurricane #Harvey victims https://t.co/RE1lmn8p61
18,Texas Jewish summer camps reopen to host Houston victims | The Times of Israel #Harvey https://t.co/6LpSg6Fw3p
19,"2 yrs ago there was Jade Helm drills in Texas &amp; the threat of FEMA camps. Now w/ #Harvey the FEMA camps are back. 25 dead, lot still missing"
20,"Flashback:
Military vehicles rolled into Texas
Walmart shut down
#FEMA camps set up
And now #Harvey
#Houstonians we have a problem
#JadeHelm"
21,"Thank GOD We elected Trump! 
Dem HB645 = FEMA camps, body bags, caskets and Jade Helm to set off nationwide panic using #Harvey type event."
22,"https://t.co/CWsSUW9QqX
#fema #femacamps #harvey #hurricane #houston @Nova153 @realDonaldTrump @AnonDeFrance"
23,Lack of facilities for #Texans displaced by #Harvey almost gives lie to the existence of #FEMA concentration camps set up during #JadeHelm.
24,#massmurder #fema #walmart #harvey was created and now ppl are going to the walmart fema camps we saw long ago https://t.co/wblIbpRtxx
25,.@URJGFC is 1 of at least 2 camps reopening to help displaced families in TX - u can support their efforts… https://t.co/AfgseeYOZ8
26,@YMCAHouston are you holding “summer” camps for kids next week? You should! And make it free to anyone who was displaced by #Harvey. /1
27,Isn't it funny how tx closed Walmarts last year more then anywhere else in USA. Yet they used these for fema camps last week... #Harvey
28,"#GOP ""We don't need #FEMA.""
#Harvey 
GOP ""OK maybe we do?""
TXGOP ""No! They're gonna put everyone in concentration camps!""
Arpaio ""Really?"""
29,🚨🚨🚨#Harvey #Texas floods +#FEMA camps=something scary #Endtimes signs https://t.co/AhQzpOLCka via @YouTube
30,"Available #Houston camps and more this week, post #Harvey: https://t.co/9N6DxRbvId @HOUcheap"
31,📍YMCA #Harvey Support: The camps will be open Sept. 5-8 for parents who need #childcare and for kids to have some... https://t.co/cT6uzIrNwL
32,Several organizations are providing day camps for kids to get relief from the flood.  https://t.co/D3177SeIKM . #harvey #HOU #HarveyRelief
33,"19 #FEMAcamps #Texas #Florida Why weren't any #FEMA ""FunCamps"" used to house #Harvey #Irma #Katrina #Homeless?… https://t.co/s8LccrZOCV"
34,This man tells Some excellent ideas and important info for black and all people. #harvey #irma #femacamps https://t.co/91LQIgqPtS
35,Need facilities after #Harvey or #Irma? We have workforce housing camps for sale and ship nationwide.… https://t.co/d0FJLjhFpa
36,"video says they will be moved to other shelters, are these the #femacamps and it also said the devastation of #Harvey is more than one 1/2"
37,@realDonaldTrump: The camps OBUMMER &amp; FEMA built to detain patriots &amp; impose SHARIA? U could use those to shelter #Harvey &amp; #Irma victims!
38,Hello all. Still working magic in Port Arthur. Houses slowly being rebuilt.  Lot of people lost it all. nd FEMA prison camps. #harvey
39,Fema camps are up..... report to be deported or get water and food.. what ever.. #houstonflood #Harvey2017
40,"If you've ever voted to defund @fema, ranted about #femacamps, or otherwise attacked #FEMA: FUCK YOU. #HurricaneHarvey #Houston"
41,"When a presidents focus is pardoning a RACIST who brags about running concentration camps!
#CNNSOTU
#ThisWeek… https://t.co/BNrjmxFDjb"
42,#HurricaneHarvey Y'all remember the time when:  #Abbott #FEMAcamps https://t.co/9SeSIGK1jQ
43,@realDonaldTrump You mean the same agency that was going to put Texans in FEMA camps will be corralling them post-s… https://t.co/FQYOd5TDNo
44,Oh and the pedo parents have gender bending mind fucking children camps...#Harvey2017 https://t.co/VKGgHQtbOU
45,"@mirandalambert @simenona Stay safe,  I coached in Texas summer soccer camps with a UK company, met many great fami… https://t.co/EgtLdQ39PC"
46,Member when @infowars made a huge deal out of all the FEMA camps....bet you those camps are going to come in handy now #HurricaneHarvey
47,Since #HurricaneHarvey is hitting #Texas will the famously anti-fed govt State accept #FEMA help or shout conspiracy theories? #femacamps
48,"Wait, I get it. Trump created #HurricaneHarvey using HAARP technology as a distraction, pardon #SheriffJoe, and move the #femacamps in."
49,"All those #infowars nut jobs who are afraid of FEMA internment camps, direct your pleas for help here: #Harvey2017 https://t.co/6yMUTL02iH"
50,#FlashbackFriday Remember @fema death camps that right wingers promoted? 🤔#Harvey2017 https://t.co/pyPXfismtZ
51,#TPWD offering free campsite for folks fleeing #HurricaneHarvey. https://t.co/uuiyWuwevO
52,@GregAbbott_TX @GovAbbott @fema @texasgov @TexasGuard @POTUS /2 camps because they are all working together with… https://t.co/WlXpfTzWEI
53,#hurricaneharvey Soros decided to mobilize all the UN forces in vacant Walmarts throughout Texas &amp; activate the FEMA camps during the CHAOS
54,Displaced Texans who view FEMA assistance akin to internment camps need to migrate to Alex's lawn #HurricaneHarvey https://t.co/uaO4XRupAB
55,Asian community should retaliate by demanding FDR statues be taken down for setting up Japanese internment camps. #HurricaneHarvey #ESPN
56,#sqwashere #HurricaneHarvey #storms #leadership #leaders #tbcamps2008 https://t.co/QjgAbcxT7j
57,Jewish camps open their doors to those impacted by #HurricaneHarvey https://t.co/adtqa3PQtW
58,"#Jewish camps offer accommodations to hurricane evacuees: https://t.co/G07t8Iuuak

@URJGFC @CampYoungJudaea #HoustonStrong #HurricaneHarvey"
59,Pics of our Houston evac campsite at Lonestar College #Inverness #flood #texas #HoustonFloods https://t.co/5rPhOKUXDh
60,@AlbertBreer How many teams in NFL history have had their camps moved to another's facility because of a natural disaster? #houstonflood
61,#Harvey2017 b I hope it flooded out the muslims training camps and mosques. They are Evil wicked bullies rapist murdering the innocent.
62,"Way to go! Proud of the camp peeps: ""Texas Jewish summer camps open to flood victims"" via @jewishsf https://t.co/Eawoq8EsqA #hurricaneharvey"
63,Jewish summer camps are reopening to host Houston victims https://t.co/9hc4ENmkvI #Houston #HoustonFloods
64,#Jewish summer camps in Texas have reopened their doors to host #Houston victims of #HurricaneHarvey. Via @JTANews. https://t.co/dfxLW47ZNr
65,.#Jewish summer camps are reopening to host #HoustonFlood victims (story via @JTA) https://t.co/XDCgStIiBt
66,The organ harvesting business.☹️#fema #americanredcross #organharvesting #sharethis #hurricaneharvey #femacamps…… https://t.co/OTBoqMZsvK
67,NASA is creating the rain and flooding TX and LA. FEMA camps are coming. #NASA #HoustonFlood #HoustonStrong #FEMA #Trump #NWO
68,"#328. Sanz Klausenborg Rebbe visiting camps, Siyum in Satmar, Wedding in Viznitz, tragedy in BP and #HurricaneHarvey https://t.co/M55sWeNkm1"
69,#Jewish summer camps are reopening to host #Houston victims | Jewish Telegraphic Agency #HurricaneHarvey https://t.co/E5o1OB50dn
70,San Diego/Imperial Valley chapters of @RedCross holding boot camps for #HurricaneHarvey #TexasRelief volunteers… https://t.co/WOW1mJWPaR
