,text
0,Make sure you have a poncho for everyone and a plan to get on your roof. And warm clothes. Stay calm. #Harvey https://t.co/Xi8ZYFcLjS
1,Get a set of dry clothes off the floor so you can put something on if you wake up in water. Charge your cell phone. Don't panic. #Harvey
2,"Having worked Nat'l disasters pls keep in mind Tx folks will need clean, dry clothes, toiletries, hot meal and a hug. Pray for #tx #harvey"
3,"@FoxNews nd has and oil. That's shelter, food, clothes and rescue and counselors and insurance assistance, security… https://t.co/cAnYt4XNoN"
4,"If u want to help: donate to #RedCross #UnitedWay #SalvationArmy Do not send toys, clothes, food. It gets warehoused &amp; doesn't help. #Harvey"
5,"Thinking of everyone in hurricane #Harvey s path. If I can donate blood, please give it. If you can donate clothes,… https://t.co/R2su5hoYOW"
6,"Walking around the house with no clothes on, but a LED flashlight on a lanyard around my neck.  #texas #harvey"
7,"Just got home. Unpacked, only to pack fresh clothes and head to @TheBullHouston till #HARVEY is done. We'll keep you up to date 24/7."
8,"Very tough to see. When it's all said and done, many of these families will only have a backpack and the clothes on… https://t.co/hvqJEjqnWf"
9,Just in case #clothes #justincase #suitcase #kids #harvey #hurricane https://t.co/68DXFpGJac
10,Mrs Thunderman comes home and starts washing clothes 'in case the power goes out'. #harvey #atxwx
11,"#BePrepared for #Harvey . Jump bag ready w/clothes, camera 📸batteries charged, @DJIEnterprise drone updated, waders… https://t.co/BLUrxdOhHE"
12,@TexansVoice @Hyundai Did you bring some extra clothes? You might be there an extra day or two. #Harvey
13,can we donate clothes at shelters?? #Harvey
14,TS #Harvey families are getting set up at Gallery Furniture now. @MattressMack also donating clothes as needed.… https://t.co/Me3T9dBWac
15,#Harvey #Houston most of the ppl being rescued need triaged and medical attention #exhaustion #elderly #children #pregnant #dry clothes
16,Houston cares. People really need baby products and men's clothes. #HoustonFloods #HARVEY https://t.co/HxkwHSDeTR
17,"Dry clothes for the cold &amp; shivering, a place to sleep for the those in despair #HarveyRelief #Harvey2017 #Harvey. Food to a hungry person,"
18,I have baby/toddler clothes and diapers I would like to donate to the shelters here in Dallas. Where? @RedCross @CityOfDallas #Harvey
19,"Any evacuees can go to @GRBCC for shelter, clothes, &amp; care. #Harvey https://t.co/wI5YuQEthT"
20,Any1 near #BatonRouge heading 2 #TexasFlood  I have a large amount of clothes+shoes womens &amp; boys 2 send #RedCross #Harvey  #donate #love
21,"Would love to know from those on the ground how those from afar can best help #Harvey victims. $$, food, clothes?"
22,"Hey #DFW!! Was just down at Walnut Hill evacuee center-- hearing they need XXX(X)L men's clothes/underwear, baby formula, etc #WFAA #Harvey"
23,I am flooded in myself but I have a ton of Men's clothes to give away to those in need during this troubled time! #Harvey
24,"@SalvationArmyUS I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?"
25,"@RedCross I donated money, but is there any places taking clothes and food donations in the state of Florida strictly for #Harvey?"
26,Does anybody know where we can take clothes to donate to those in need? #harvey
27,Getting rid of a bunch of clothes. Anyone know where I can send them in Houston to help those affected by #Harvey?
28,"If anyone has boats, and help rescue or can bring supplies, donations of clothes, food, water or go help they are going to need it. #Harvey"
