,text
0,Hero of the day. #CashTheDog aka #Harvey returned to owner after being displaced by storm &amp; climbing into stormchas… https://t.co/yy8ZrQOpxv
1,#NationalDogDay #Harvey #displacedpets https://t.co/y3zYpWso0I
2,"#Runge #Victoria #Tx #Texas

*IS THIS YOUR MISSING DOG*

#Missing #dog #found #displacedpets

*found in Runge, Texa… https://t.co/zALMSZWkoa"
3,This man is a good samaritan.  I hope this dog finds his family.  Prayers for people displaced by #harvey. https://t.co/i50O9KewC1
4,"At 10, NOLA native who owns Duncanville restaurant is 'paying it forward' by helping folks displaced by #Harvey jus… https://t.co/u1peIuKLFZ"
5,.@GovAbbott comforts a mom displaced from #Victoria to #Austin by #Harvey. #LoveTexas (from @KXAN_News) https://t.co/9SuiMpZasw
6,#Harvey  #displacedpets https://t.co/AfQBCWVGbE
7,Gov. Greg Abbott visited a Red Cross Shelter today available for families displaced by Hurricane #Harvey. Photos by… https://t.co/19M6NQzQBy
8,#HurricaneHarvey #harvey #hurricane #displacedpets https://t.co/3rlW9HQwQ3
9,Displayed dog #harvey Share a bunch #hurricane #displacedpets https://t.co/CA5Mgtgsa8
10,.ATXFlood can help you if you've been displaced by #Harvey and need somewhere to stay.
11,#harvey #hurricane #displacedpets https://t.co/9AfLQgVeF3
12,weatherchannel: .ATXFlood can help you if you've been displaced by #Harvey and need somewhere to stay.
13,.@ATXFlood can help you if you've been displaced by #Harvey and need somewhere to stay.
14,"Our volunteers met a couple displaced by #Harvey from Victoria, with a car but no gas money to get home. Need $60. Let us know. #Austin"
15,Displaced dog jumped into my jeep. Please share to help find owner! #harvey #hurricane #http://displacedpetspic.twitter.com/0C6Ve9bN78 …
16,#Harvey #displacedpets #runge #tx https://t.co/PdGwP5JNVQ
17,"@realDonaldTrump if ""illegals"" are displaced by #Harvey will you have DHS work to deport them? I think I know the answer. #SAD"
18,"Follow @ATXFlood for updates on community-driven efforts to support those displaced or affected by #Harvey. 
#HarveyStorm #Austin #MutualAid"
19,Update: I'm safe (and probably will be) in N Austin. Please pray for the people that have been displaced or still taking damage. #harvey.
20,"Texas coastal gators displaced by Harvey
#Harvey #Hurricane #Houston #CorpusChristi #Austin #Texas #GOES16 #NWS 
https://t.co/69GDoNLQIP"
21,#Harvey #dog #Runge #TX #displacedpets 🚨🚨🚨🚨🐾🐾 https://t.co/QKwLMUMMIZ
22,#displacedpets #harvey #hurricane tweet him @aaronjayjack
23,"Searching for owner of displaced dog found in Runge, Texas. #Harvey #Pets. https://t.co/YDKmRYWiSD"
24,@aaronjayjack #harvey #hurricane #displacedpets Hope he has a chip
25,"A displaced sailboat rests in front of a dog-grooming business along a flooded street in Palacios, Texas. #Harvey https://t.co/AjjMMbue5o"
26,"Today's hero!
#displacedpets #Harvey #bluetickhound https://t.co/vE5wVdEbjF"
27,"Found dog in Runge, Texas: https://t.co/IcOynEGGbJ #harvey #hurricane #displacedpets"
28,Omg. Please help the people the animals displaced by #Harvey! #DisplacedPets #HurricaneHarvey #HurricaneHarvey2017 https://t.co/x59HS8N15s
29,TX lawyers displaced by #Harvey have free 24/7 access to the @Fastcase legal research library through… https://t.co/LPurwfn6t5
30,Spread the word. Help this dude out. #harvey #hurricane #displacedpets https://t.co/eavQ4TAigA
31,"Praying for safety for all in the wake of #Harvey, including wildlife being displaced. Yes, even the alligators!"
32,Donations are in GREAT need to help those who are displaced by  #Harvey. Text RED CROSS to 90999 to send a $10 dona… https://t.co/LiLCmK0bgH
33,"AgriLife Extension helping with #sheltering small, large #animals displaced by #Harvey https://t.co/gci1HKeWwy"
34,"Flooding remains a threat from #Harvey...meaning many displaced loved ones. Pass this along, it's just awesome so... https://t.co/HdjwVXly8e"
35,"Help @aaronjayjack find the owner of this displaced dog that found him near/in Runge, TX. #Harvey #HurricaneHarvey… https://t.co/AnlvdtcHRl"
36,"Runge, TX dog lost from owner, on way to Austin. #Harvey #Austin #Runge #Victoria #displacedpets https://t.co/8MpyGqyT02"
37,"Runge, TX dog lost from owner, on way to Austin. #Harvey #Austin #Runge #Victoria #displacedpets https://t.co/3XCKcmduqK"
38,"Texas coastal gators displaced by Harvey 
#Harvey #Hurricane #Houston #CorpusChristi #Austin #Texas #GOES16  #NWS… https://t.co/S2Q1gEMoGt"
39,https://t.co/jIgFtBRRft Displaced dog jumped into my jeep. Please share to help find owner! #harvey #hurricane #displacedpets
40,"#RungeTexas #FoundSafe
#BlueTickHound ❤️🐾❤️🐾

Contact @aaronjayjack headed to #Austin

#displacedpets #Harvey… https://t.co/rASjGWQR8F"
41,"My heart hurts thinking of stray + #displaced pets. If you come across a #lostpet in #Harvey, pls do all you can to… https://t.co/7AaRxBe0aK"
42,#Harvey was downgraded to a tropical storm but made landfall as a CAT 4 Hurricane. Thousands w/out power&amp;displaced.… https://t.co/vBd5GoQ7yb
43,@aaronjayjack @TheRickWilson FYI displaced #dog picked up in #Rung Texas being taken to Austin by nice guy who need… https://t.co/jhmFNizp7Q
44,#victoriaTX #harvey #displacedpets @austinpetsalive #kindness https://t.co/PmnwRzCmo7
45,"Sights from Rockport this morning. No estimate yet on property damage, or displaced people. #Harvey https://t.co/43kOn7UeZC"
46,Appears that the midlevel &amp; low-level circ centers of Tropical Storm #Harvey have become displaced as per GOES-16 v… https://t.co/r4MMp0Bdbz
47,Dog found in #RungeTexas #Harvey #lostdog #displacedpets https://t.co/v7nS8N3NzA
48,Please share to help find owner. #Harvey #HurricaneHarvey #displacedpets https://t.co/2hq9bOmeET
49,"@aaronjayjack Post location you picked him up? Will retweet to #harvey #displacedpets. Thank you, you're very kind."
50,Doing good for the displaced fish after #Harvey flooded the area. Better than finding a gator in the pool! 🦎🐠🛶🐊🐢🐍 https://t.co/IxYH2HQlXV
51,Displaced dog jumped into my jeep. Please share to help find owner! #harvey #hurricane #displacedpets https://t.co/0C6Ve9bN78
52,"Texas coastal gators displaced by Harvey
#Harvey #Hurricane #Houston #CorpusChristi #Austin #Texas #NWS #GOES16
https://t.co/M9lDxjhrMC"
53,"Texas coastal gators displaced by Harvey
#Harvey #Hurricane #Houston #CorpusChristi #Austin #Texas #NWS #GOES16
https://t.co/69GDoNLQIP"
54,"AgriLife Extension helping with sheltering small, large animals displaced by #Harvey https://t.co/6Q5EGmncL8 https://t.co/5R75qkSsAm"
55,"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx"
56,"it seems humans aren’t the only ones displaced by #hurricaneHarvey ... 

#harveyhurricane #harvey #Texas https://t.co/WPchT4MIzH"
57,just heard that an estimated 500k gators and snakes will be displaced by #Harvey &amp; will be moving inland so BYE! nice knowing you! i'm out!
58,Austin folks - we'll be fine. Calm down. Go out and help those displaced this weekend who will really need our support. #atxwx #Harvey
59,"Please help local shelters care for abandoned, displaced, &amp; stray animals after #Harvey! #adopt #foster #donate… https://t.co/w3vTjjnPCn"
60,.@Airbnb offering free temporary homes to people displaced by #Harvey https://t.co/eTxZGpnE5f
61,In The Streets Hands Up High ministry on Texas 95 in #Bastrop Co. will open as emergency shelter for locals displaced by Hurricane #Harvey.
62,@cnnbrk #Trump has already failed. DOesn't have Government staffed or in place to handle #Harvey. No Prep for thousands of displaced people!
63,@NotaBubble @williamlegate @yusschr Let's see how bad Trump screws up #Harvey this weekend.  Maybe displaced Texans… https://t.co/1mYib5jmhi
64,San Antonio awaiting thousands of coastal residents displaced by #Harvey. Clear skies but wind picking up. https://t.co/A6kRiok869
65,@BillKristol Let's see how bad Trump screws up #Harvey this weekend.  Maybe displaced Texans can stay at one of the… https://t.co/ybtYLwvZpN
66,"To all of my #Houston friends, if you become displaced or need hotel accommodations due to Hurricane #Harvey,... https://t.co/IaBTXKbtT6"
67,REFUGEE PETS: APA needs short term fosters for animals displaced by #Harvey https://t.co/cS60zxESq8
68,"Emergency relief centers are opening in Austin for people displaced or affected by #Harvey

Be safe and evacuate early."
69,Main threat to lives &amp; property w/ #Harvey will be from flooding. Preparations for flooding &amp; displaced people are… https://t.co/yqeqxV4QRl
70,Only area of tropical storm force winds with #Harvey are well displaced to the NorthEast. Still apart of the system… https://t.co/z4qvT3gSUF
