,text
0,Don't worry Trump will expect you to pay for it later with WALL donations  #HurricaneHarvey #Harvey #Texas https://t.co/5GOlk4ILz3
1,Earlier: San Antonio Mayor @Ron_Nirenberg details on how residents can help evacuees with donations. #Harvey… https://t.co/tr4Qb8Tdw8
2,"If anyone can help these folks with the 4-legged victims of #Harvey, fosters and donations are needed! https://t.co/Mei2cKk6CU"
3,8/26 update #harvey #hurricaneharvey #PETS #ANIMALS needs 4 short-term foster homes + donations @ #Austin TX rescue https://t.co/gwX3s3lm9b
4,Mayor of Austin asking for donations to the Red Cross #harvey  https://t.co/1AGKBRB7hM
5,Our foster puppies are settling in well 😍@austinpetsalive is still in need of donations so out of TX friends you ca… https://t.co/jiVIDMBaqY
6,Do you know any group or organization that plans to help #Harvey victims with donations or supplies? @bclark_WPSD w… https://t.co/PjNQ5NOuWn
7,"Urgent need for volunteers, donations: How you can help victims of #HurricaneHarvey https://t.co/SNcTUOTMy0 @ksatnews #sanantonio #harvey"
8,Just heard the most diplomatic answer from @RedCross Texas Gulf Region CEO on @MSNBC re: donations! Best help is cash. #Harvey @AlexWitt
9,The Lorena Fire Department will be taking donations Sunday for #Harvey. Details-&gt; https://t.co/lN6j4HY9Ht @NewsChannel25 @MattHinesTX
10,The Lorena Fire Department will be taking donations Sunday for #Harvey. Details-&gt; https://t.co/lN6j4HY9Ht @kwtx @RustyGarrettWx
11,"#Harvey $ donations: not all asking will be legit; use yr best judgement. Supplies: diapers, soap, wet wipes etc. NOT your old winter coat!"
12,Walnut Hill Rex Center in Dallas received so many donations they are having to turn away supplies. Other drop-offs? #harvey #texas
13,statesman: Blanco River Recovery Team seeks donations for those affected by #Harvey https://t.co/yVaIh8Q27g
14,Blanco River Recovery Team seeks donations for those affected by #Harvey https://t.co/bZj6rJobSn
15,@RedCrossDFW material donations accepted at Trusted World 15660 Dallas Parkway 75248 #Harvey @DallasOEM maybe opening another shelter 1/2
16,"Mayor of Austin, TX, asking for donations to the @RedCross. https://t.co/PywX3UrC7v #c3n #Harvey"
17,"@DallasPD Red cross is known to take a lot of money from donations, I'll never trust them again. #RedCross #Harvey"
18,#Harvey donations: #SATX https://t.co/fUfZo2nByg
