,text
0,"Dogs rule. Otis &amp; his bag of food are home, as is 'Cash' (aka #Harvey) from Runge saved by a stormchaser's Jeep.… https://t.co/cVyHE6EfwQ"
1,#harvey Resourceful dog makes it home safe- toting sack of dog food   https://t.co/fKBgtR6aci https://t.co/FsuQFxtfGy
2,#Otis safe: Dog carrying bag of food after Hurricane #Harvey becomes viral hero https://t.co/oog5hN86WA via @houstonchron
3,"Things are getting dangerous folks. Commonsense and clear plans are needed. Water, food, light, hammer if going in to attic. #houwx #harvey"
4,♥Texas dog pictured carrying dog food after Hurricane #Harvey https://t.co/T3RrRjuKEx via @MailOnline
5,"Bottled water, canned food, energy bars, batteries/power backup hardware, torch, whistle, matchboxes and courage. Stay safe. #Harvey"
6,While ur out watching this fight people are losing their homes &amp; lives 🌊💔 #Texas #Austin #Harvey #Storm #foodforthought #volunteer #love
7,"Israel and the #Jewish nation pray for the people of #Texas. 
We are here for you with shelter, food and faith.… https://t.co/ZsoJrWMTCQ"
8,Maybe Otis was carrying that bag of food to feed dogs stranded by the hurricane. #harvey #good_dog https://t.co/fC3JE1LZp0
9,"This dog is safely back to his home in Texas. He just carried his dog food around his neighborhood today.
#Harvey

 https://t.co/jnjsuow4mm"
10,@yashar This dog is walking around Sinton TX carrying a entire bag of dog food with him. #Harvey #Harvey2017… https://t.co/HzJFlX1Kb1
11,"Incredibly pragmatic dog braves Hurricane #Harvey with, yes, an entire bag of dog food https://t.co/fDIR8Rf3N2 via @mashable"
12,Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/BGp7aExiwU by #HuffPost via… https://t.co/Zv12OfRzd2
13,Lost dog seen wandering around with bag of food during #Harvey reported safe! https://t.co/plPCbU1znh
14,Lost dog seen wandering around with bag of food during #Harvey reported safe! https://t.co/AFH4c1VWb0
15,#Harvey survival food. 🍩🍩🍩 https://t.co/uGTazd8mTh
16,"#NationalDogDay2017 

If you think dogs are not smart watch this dog walking away with a bag of dog food after Hurr… https://t.co/k24eCBVFee"
17,Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/uLWSEMrMQb by #fmaldifassi https://t.co/C5fHqdMpVs
18,Insane rain and lightning ⛈🌬 #Harvey #TropicalStorm #flashfoodwarning https://t.co/ZCEt4Y8kzt
19,If you think dogs are not smart watch this dog walking away with a bag of dog food after Hurricane #Harvey. #Texas https://t.co/sKgfAKBiyL
20,Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/F6CrFO1P6v by #HuffPost via… https://t.co/HwD7l1RIgp
21,@mikeseidel #Otis #Harvey a dog who was prepared. Evacuate with food. Well done Otis. Poster dog for 💧🌀🆘prepare
22,This dog has more sense than a lot of people: Dog carrying bag of food after #Harvey becomes viral hero https://t.co/u5z5mCHQ4n
23,If you think dog are not smart watch this dog walking away with a bag of dog food after Hurricane #Harvey. #Texas https://t.co/2JXB8yZ9nX
24,Dog carrying bag of food after Hurricane #Harvey becomes viral hero https://t.co/qGsiWiAm7U via @houstonchron
25,Aftermath of #Harvey: Picture of dog walking off with bag of dog food is going viral on social media. @WTNH https://t.co/gxoXB3Y2Es
26,statesman: That's a good boy. Texas dog carrying bag of dog food in #Harvey goes viral https://t.co/0PMWtQov8e #N… https://t.co/OgticzX6zt
27,"Retweeted HuffPost (@HuffPost):

Resourceful dog walks away with bag of dog food after Hurricane #Harvey... https://t.co/J3HyNYhmZS"
28,That's a good boy. Texas dog carrying bag of dog food in #Harvey goes viral https://t.co/AE4f2RGVb6 #NationalDogDay https://t.co/bMKch1Mwy2
29,My #Chicken #Noodle #Soup was perfect for this #Hurricane #Harvey #weather #MenWhoCook #foodie… https://t.co/FotOOf4Iwm
30,Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/4uyVnOTzYd https://t.co/rSIGDoR1Lf
31,HUFFPOST: Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/zMdf6i1Va1 https://t.co/Aj6jCa9y9j
32,"Retweeted HuffPost (@HuffPost):

Resourceful dog walks away with bag of dog food after Hurricane #Harvey... https://t.co/0vBeNOxlbR"
33,Resourceful dog walks away with bag of dog food after Hurricane #Harvey https://t.co/7I2EC1xhhL https://t.co/tz3SyYlwKo
34,No generator s no stock up food in case there's no power. Can food all the way:)! #Harvey #HurricaneHarvery https://t.co/f9UlvwicwI
35,"We're still open until further notice! Come over if you're close by and need some food and drinks. 
Get lost #Harvey"
36,Shelter in place in the pantry with a Sharpie. Calming the kiddos. Changing the name of all the food 😂😂🌪… https://t.co/UaznOFMzYL
37,This dog carrying around his own dog food during a storm is the reason for the made up holiday that is… https://t.co/zUJ9XCzJn1
38,"When a dog takes it upon himself to evacuate.  With food.

#Hurricane #Harvey #HurricaneHarvery https://t.co/V1VvNi8gSe"
39,Texas @GovAbbott and @KirkPWatson chat after serving food at Austin shelter. #harvey #txlege https://t.co/FR0QV0qdFS
40,Governor Abbot and Senator Cornyn serving food at an Austin evacuation center #hurricaneharvey #harvey https://t.co/drT7OOwgDv
41,weatherchannel: Dog spotted carrying an entire bag of dog food after #Harvey – Here's the story behind this viral … https://t.co/DKyU64scbb
42,"Beds, showers and food arrangements were set up at the Killeen Community Center #Harvey https://t.co/1e9P42lSBu"
43,Dog spotted carrying an entire bag of dog food after #Harvey – Here's the story behind this viral photo.… https://t.co/tPW222g9iv
44,Dog spotted carrying an entire bag of dog food after #Harvey – Here's the story behind this viral photo.… https://t.co/OYawVwV780
45,"Folks @safoodbank were surprised, grateful that Pres. Trump thanked volunteers in his tweet. @COSAGOV @News4SA… https://t.co/MtLmZaHB7C"
46,"With all due respect, don't send prayers, send food, water, shelter, supplies and volunteers to those who need it. #Houston #home #Harvey"
47,"TX @GovAbbott, @JohnCornyn , @GinaForAustin @EddieforTexas &amp; @DrBuckinghamTX are here to serve food. #txlege #harvey https://t.co/qgPakrOEfy"
48,After #Harvey: How long is food safe in my fridge? #SignatureCareER https://t.co/sG48DmHFoU via @kiii3news
49,"#Harvey made for a good reason to cook up some ""comfort food"", Pasta Carbonara! #Zerocalories https://t.co/gIgkRF5YBS"
50,"#SharingIsCaring. Huge thanks to @FBCSO deputy who offered food, water to #KHOU11 crew. @MikeWCNC is happy camper!… https://t.co/AmSrmfNwle"
51,From this morning: volunteers assemble boxes of food for senior citizens and evacuees at @safoodbank #Harvey https://t.co/cc1CQ5S3Cp
