,text
0,Harvey: Too poor to flee the hurricane #trump #home #storm #money #harvey https://t.co/OitMQQfALk https://t.co/FUXjofSGcl
1,The latest Mia's Edinburgh Daily! https://t.co/vj4s1g9vMK Thanks to @edinburghpaper #virginmoneyfireworks #harvey
2,Remember these pics when Congress debates having money for both tax cuts &amp; disaster recovery. #Harvey https://t.co/6q47Slkw2M
3,Party anyone ? #Harvey #Moneyteam #McGregorMayweather moneymayweather https://t.co/kf8RxVVi3m
4,@brd813 @VP We're Texans! We have money and resources! We don't need a hand out. All we need is our boots. We pick… https://t.co/f5fodiTuAQ
5,I'm donating money to help the ones affected by #Harvey
6,Last time my #WestU street was a literal river like this was during Ike. #Harvey is giving Ike a run for the money https://t.co/l9OIgkLS0a
7,@XFINITY 🗣🗣🗣 tf y'all don't think I know about hurricane #harvey fucking emergency alerts interrupting this ppv bitch I want my money back
8,I hope they make enough money to shut #Harvey up #FloydMayweather
9,In other news. #texasgettingpaid #harvey sucks but at least we got that check coming. #followthemoney #circus w the #fight
10,"I bet the victims of #Harvey could use that $100 pay-per-view money. Last check, the fighters are making out fine. 

https://t.co/CD2LRe93O4"
11,"Our volunteers met a couple displaced by #Harvey from Victoria, with a car but no gas money to get home. Need $60. Let us know. #Austin"
12,"4 easy ways to help #Harvey survivors: 
⏳Donate time 
💰Donate money 
🛠Donate skills 
📚Donate supplies 
@RedCross @ABAYLD @ABAesq"
13,"I doubt we'll be hearing much from #Texas secessionists for a while, other than asks for #FEMA money. #harvey"
14,@PrincessBravato They cost $140. Maybe @IvankaTrump could donate that money to victims of #Harvey
15,Here's me literally putting my money where my mouth is. I'll make another tomorrow for first day shirt proceeds.… https://t.co/2Gwdu2tPtI
16,The money collected will be given to the American Red Cross.  Click on the article to help. #Harvey https://t.co/mOcs2BUaDZ
17,Just remembering all the GOP senators and congressmen who voted against Hurricane Sandy money for those of us affected . #HARVEY
18,Remember when 31 GOP senators denied hurricane Sandy relief and later begged for disaster money for their own states? #Harvey #hypocrites
19,remember when the southern states denied a northern state disaster money &amp; shortly after declared disasters themselves wanting money #Harvey
20,"@DallasPD Red cross is known to take a lot of money from donations, I'll never trust them again. #RedCross #Harvey"
21,"Federal funding for rich state that denies help to others? Bless your heart #Texas. Need money, sell your guns first. #Harvey #gunsense"
22,"#Texas wants money for #Harvey, let 'em sell guns to buyback program. Otherwise try shooting their way outta this. Not so much eh. #gunsense"
23,I'm raising money for The Blue Shed. Click to Donate: #BlueShed #HurricaneHarvery #Harvey Let's do it! https://t.co/E9Eg6vVyfd via @gofundme
24,"Before I go to sleep...

Send money, food, water, diapers.

#HurricaneHarvey #Harvey"
25,The fear got us man. We got played. I got played. Spent all that damn money just to stimulate the damn economy. 😐#harvey
26,#Harvey came ashore like a green oil-rigger - spent all his money and his wad in one night
27,@moneyries Exactly. Let's not get too distracted by the fact that #Harvey has been downgraded. This is a duration event.
28,"Donate money, blood or help the furry friends displaced by #HurricaneHarvey https://t.co/b9kh2KZcOI #Harvey #txwx"
29,@realDonaldTrump Do you now regret the #vengeful anti-Obama action you took ahead of #Harvey to prevent money going… https://t.co/FZE8KwqJ4d
30,"Disaster Capitalism, Trump counts his money as children die, what a leader. #Hurricane #Harvey https://t.co/IIy0aPw8go via @qz"
31,I'm calling it NOW- US Prez keeps pushing Congress for wall funding instead of diverting money to FEMA for recovery from #Harvey
32,You literally could not come up with enough money in the universe to leave my dog behind in any scenario. #Harvey
33,Is this what Joel Osteen meant by the windows of Heaven opening if you give him 10% of your money #Houston? #Harvey https://t.co/FLBBbfrMwT
34,"Where's the Big Shots that say them and GOD are like 🤝, and give them money cause it's Gods Will for you to. Shouldn't they rebuke #Harvey ?"
35,#Harvey you can bet we will be chasing that insurance money after the #HurricanHarvey
36,Looking back now it would have been nice if Powerball Lottery officials could have that money still and give it to #Harvey victims
37,The only way to make Trump notice is to make him look bad or cost him money. #MAGA #resist #Harvey
38,Dear #harvey I already blame you for all the money I'm about to spend on online shopping #whatelsearewesupposetodo  💸💳
39,Y'all could not pay me enough money to stand there and get beat to death by the wind like that...nope. #Harvey
40,"@SenTedCruz You voted against relief for Sandy, but want money for #Harvey. If you meet Jesus, I don't think you'll like where he sends you."
41,"Hey Don, let's pretend climate change is only in Paris. #HARVEY. And what about the oil in that gulf? Ooooh, ""oil"" = money. Ur familiar."
42,Think about setting aside some donation money because Texas is going to need our help. #Harvey
43,"Yo Texas: This bleeding-heart, tax-raising, government-lovin' Liberal would love to spend time and money to help y'all out. FYI.

#Harvey"
44,Good thing Texas hasn't seceded from US yet- they will be looking for lots of USFed help and money bc #Harvey
45,Epic fight this weekend. My money's on @JimCantore vs #Harvey.
46,"Reminder: 

""Thoughts &amp; prayers"" is a lazy way of showing you care. It does nothing. It means nothing. 

Send money, water, food. #Harvey"
47,#Harvey got me spending too much money for groceries
48,"@LordotDragons OK, then. The rest of the country can ask ""some fed"" to not send any help/money to Texas. Got it. #Harvey"
49,"If you can donate money toward Hurricane #Harvey recovery, do so through the American Red Cross. Visit https://t.co/KYSJRNMfit,"
50,@NPR Meanwhile Texas braces for largest/most powerful hurricane to make landfall in 12 years. But gotta make sure the wall has money #Harvey
51,Giving would be a great #moneyhabit to teach the kids this weekend! Our prayers to those in he path of #Harvey 💨this weekend.
52,"Texas is going to allow undocumented immigrants into hurricane shelters.
There has to be a money angle.
They are not humanitarians.
#Harvey"
53,#harvey is cat 3. Plz send money for snacks and beer. Will send nudes. #kik for $5 #hurricane #slut #tits #skypesex… https://t.co/G3RapSo7K7
54,"If you want to give, give money to organizations helping with #Harvey"
55,You know Jack In The Box gonna be open 24 hours during #Harvey they don't even close for Christmas. Ain't losing out on that money grab
56,@ReadyHarris No time for #Harvey I can think of 100 other things Texas can spend money on other than repairs. Mothe… https://t.co/g8JrrFLi5Y
57,@kylegriffin1 How can Trump make money off this #hurricaineharvey #Harvey is what he refers too
