,text
0,I think the President should donate Trump Hotels as relocation centers.  #Harvey #POTUS @realDonaldTrump
1,"The agony of duration: the rising water and days of rain, the relocation and inhabitable areas, the disease and loss. #Harvey"
2,Use it as a relocation centre for #Harvey -pets or small people? Doesn't really matter just use it for some sensibl… https://t.co/4sqHc3oDUb
3,@LydaKrewson what are we doing in STL to help our friends down south? Will we offer relocation during rebuild? #Harvey #Houston
4,This is the hotel LSU was supposed to stay at this week prior to relocation of the game. #Harvey #HoustonFlood https://t.co/AC4Bq5Vgem
5,@batami @paulbernstein @PrizmahCJDS @AVICHAIFDN with people needing extended relocation from #Harvey. Happy 2 help organize if a good idea.
6,"@utrgv .@utrgv Office of Emergency Preparedness says, ""System-wide plans in place in the event student relocation b… https://t.co/9zh2Mg2rYH"
7,Millions of American taxpayer dollars have gone to @realDonaldTrump's properties. Trump Hotels should be relocation centers. #Harvey
8,Hey @realDonaldTrump! Want to help? How about donating some @TrumpHotels as relocation centers for #ClimateChange #harvey victims?
9,"How to help
How about we bail out all victims and buy out their mortgages and help with rebuilding and relocation where needed
#harvey"
10,I Called Gov RaunerIL to formally ask his office to begin some type of relocation to IL aid for Harvey victims . #Harvey #HurricaneHarvey
11,#Harvey Help Hotline has been established for farmers &amp; ranchers seeking animal shelter or relocation and to report… https://t.co/E8Kv67ifXy
12,#TexasKickoff #BYUvsLSU looks packed at the Superdome. Home game for LSU. #Harvey relocation game.
13,Learn how GDT helped a Houston data center customer with a rapid relocation after #Harvey https://t.co/JTzyWRbmft https://t.co/HKq3YclWm2
14,"Music people affected by #Harvey, #Irma2017 &amp; beyond: @MusiCares can help with medical, relocation, gear, more.… https://t.co/RRMth1MX53"
15,#Severeweather events like #Harvey &amp; #Irma are examples of why some #climate scientists urge relocation. Learn more: https://t.co/UjQMYKx520
16,"""I was wondering how long this relocation is going to last.""

""Unfortunately, we don't know.""

#Harvey

https://t.co/6Nj4YrcEMf"
17,"In the wake of natural disasters such as #Harvey and #Irma, we must beware of relocation/rebuilding that disempowers people of color."
18,"Between #Harvey #Irma and #Maria, we're going to have to cope with the largest mass relocation of U.S. citizens in modern history"
19,Help fellow Texans deal with relocation stress after #Harvey. Call 1-800-273-TALK to connect w/ a local crisis cent… https://t.co/szCiOlgKZy
20,Thoughts on coastal relocation after #Irma and #Harvey. https://t.co/V3kYe4CJkU #ClimateChange #SeaLevelRise https://t.co/79axq28fDw
21,"Dallas is about to get a relocation boom, as is the Southwest. #HurricaneHarvey not unlike Ralph Nader / proof posi… https://t.co/ZbvQPcSvI3"
22,"If in need of relocation please contact @realDeeLouis 
ANGELS HELPING IN
#Houston #TEXAS #houstonflood https://t.co/RYu7qdXKdB"
23,"Feds with Qs on waivers for travel, gov purchase cards usage, and per diem &amp; relocation can call us 24/7: 1-844-895-0606 #HurricaneHarvey"
24,If you are in a business in DFW that is profiting from the relocation of #HurricaneHarvey forcing the... https://t.co/aE83IKBf3q
25,What disturbs me the most about #HurricaneHarvey is that people that were able to evacuate Katrina were often sent to Texas for relocation.
26,"As #HarveyStorm reaches Cat 4, @GovAbbott suspends hotel-motel tax to make relocation more affordable for evacuees. https://t.co/Xc1KUZSDiq"
27,2/2 Any #donation is appreciated. herehttps://www.gofundme.com/raymondhurriacnerelocationfund #pleasehelp #hurricaneharvey #plsshare #help
28,Imagine all the relocation players that the Dillon Panthers will be getting due to #HurricaneHarvey
29,Call your Governor's offices insist your state implement relocation aid for Harvey victims. #HurricaneHarvey #HarveyRelief @sunwyn
30,Do you require temporary relocation of your #cancer treatment? Call @TexasOncology: 1-888-864-4226.… https://t.co/5VfA3kHduq
31,Permanent relocation from floodplains: it's time for this important discussion. #Harvey2017  https://t.co/xTQZlvENu6 https://t.co/D84MmLBkjX
32,Do you require temporary relocation of your #cancer treatment? We're here to help. Call our team at 1-888-864-4226.… https://t.co/mvqJ4bMjIw
33,Do you require temporary relocation of your #cancer treatment? Call @TexasOncology: 1-888-864-4226.… https://t.co/8lmKKAQjOG
34,Do you need temporary relocation for your #cancer treatments? Call @TexasOncology: 1-888-864-4226.… https://t.co/gVqep64F6Q
35,Talking #rebuilding or #relocation after #HurricaneHarvey at 9:12am w/@du1869 @DrRobertCollins LISTEN LIVE https://t.co/eJwhHvTACa #Sayfie
36,HISD offers detail on school damage and student relocation #HurricaneHarvey  https://t.co/oOUCjaWlrp via @houstonchron
37,Our dear friend @citizenmilton was displaced by #HurricaneHarvey. You can help support his relocation here: https://t.co/Jiyb5T22KE
38,"#Texas #TexasFlood #HurricaneHarvey was planned &amp; on purpose. It's to cause mass relocation, stress on the economy… https://t.co/0d2jakhiJ7"
39,"Roof and water damage caused by #HurricaneHarvey forced temporary relocation of @NBPDTX HQ starting today. 
https://t.co/TAyPEYJZFp"
