,text
0,Praying for TX in all 3 services today. Looking forward to sharing ways we can respond to help in upcoming days. #Harvey
1,Local emergency services in Houston are clearly (&amp; predictably) overwhelmed. State/Federal/Military help needed.… https://t.co/JsqAxQrH42
2,More: Emergency services are reporting citizens climbing into their attics asking for assistance. #Harvey
3,"Bastrop Christian Outreach Center - No worship services on Sunday, August 27 due to #Harvey"
4,UPS provides essential shipping services to National VOAD members. Thank you for your support @UPS #Harvey https://t.co/KvNr3qSg0q
5,"Texas: one person is dead, 14 injured by #Harvey. Your neighbors should be ok. Verizon just offered free services in TX."
6,Hurricane #Harvey relief - give to Lutheran services https://t.co/sZkKWk1jqa
7,We are ON for worship services tomorrow morning at 9:15 and 10:45! Join online at 10:45 if you need to stay home. Be safe! #Harvey
8,Have seen churches all around #Austin cancelling services for tomorrow. #Harvey
9,Wondering how to help the victims of hurricane #Harvey? Come help us assemble 100 flood baskets between services to… https://t.co/41H3GQgRy2
10,"URGENT - USA: #Harvey rétrogradé en tempête tropicale, mais inondations ""très graves"" (services météo)"
11,"#USA : L'#ouragan #Harvey rétrogradé en tempête tropicale, mais les inondations sont ""très graves"" selon les services météo"
12,"#USA : L'#ouragan #Harvey rétrogradé en tempête tropicale, mais les inondations sont ""très graves"" selon les services météo"
13,"@foxnews #Harvey Gov has his own  ""Texas State Guard"" they provide these services. He has Highway Patrol and officers of parks and wildlife"
14,"Want to help people affected by #Harvey? Red Cross is providing vital services all over Texas. Donate. 

https://t.co/hBOKpXYG5Z"
15,Anyone need a mixer for their services this weekend? I’m in Kansas and pastor  cancelled services due to #Harvey
16,I have faith in our emergency services. I'm hoping things aren't completely doom and gloom. #harvey
17,"getbest escorts services - https://t.co/zGjSKoNENa
#HurricaneHarvey #Harvey #MayMac365 #SolarEclipse… https://t.co/CDgVsaHyUa"
18,An update on impacts to City services caused by Hurricane via @HoustonOEM #harvey. #hounews https://t.co/d9Sh3FLg86
19,WTF @XFINITY. #Harvey isn't even here yet and your services are already dead. SMFH
20,"If you are an emergency services provider in #Harvey's path, here is a short video on keeping safety info up to date https://t.co/tmvLcAxZAp"
21,États-Unis : l'ouragan #Harvey passe en catégorie 4 sur une échelle de 5 (services météo) https://t.co/yY22xNRUjO
22,An update on impacts to City services caused by Hurricane #harvey. #hounews https://t.co/tXbYr7Sifw
23,"If you live in Greater Hou &amp; provide carpentry, electrical, fence repair, or tree cutting services REPLY in case you are needed afta #Harvey"
24,😞 Praying for all in path of #Harvey. Be safe. Thanks to all those providing emergency services. https://t.co/hOQqteJHX5
25,"#Harvey hunker down and get off the road, @JimCantore is understandably irritated with you...emergency services aren't coming to save you"
26,"Praying for all in Texas, and particularly those providing aid &amp; emergency services, as #Harvey is upgraded to a Ca… https://t.co/CGnL8TEEhp"
27,États-Unis : l'ouragan #Harvey passe en catégorie 4 sur une échelle de 5 (services météo)
28,États-Unis : l'ouragan #Harvey passe en catégorie 4 sur une échelle de 5 (services météo) https://t.co/dlTdD5UJHO
29,L'ouragan #Harvey passe de catégorie 3 à 4 sur une échelle de 5 (services météo) @AFPfr https://t.co/IzBBfUbB5U… https://t.co/tnA71tmew5
30,L'ouragan #Harvey passe en catégorie 4 sur une échelle de 5 (services météo) ## https://t.co/rNDIHn8Fas
31,"Glad #Texas wanted/wants to secede from US &amp; don't want ""feds"" services/$$...GOOD...NO ""fed"" $$ for #Harvey recover… https://t.co/QfMGmqLPxT"
32,Please be safe &amp; look out for each other with #Harvey blowing in. Keep an eye out for news about Sunday services on… https://t.co/FLkQNV9cu3
33,"Glad #Texas wanted/wants to secede from US &amp; don't want ""feds"" services/$$...GOOD...NO ""fed"" $$ for #Harvey recover… https://t.co/WEbDSUkbp5"
34,#USPS services temporarily suspended at several offices due to #HurricaneHarvey #Harvey https://t.co/iKegOmT3kc
