,text
0,We will try to get some help to the #houstonflood area soon. Email me for any specific help. We have supplies and a shelter list. #Harvey
1,"From #Katrina to #Harvey, families taking shelter in Dallas have been through this before. https://t.co/EcsIrjz3WR @dallasnews"
2,"Retweeted Larry Collins (@LarryNBC5):

Goodbyes at Dallas shelters. #Harvey evacuees can't have pets in shelters.... https://t.co/Vmvn6nAUjq"
3,The only shelter for disaster relief currently open @RedCrossHouston is the MO Campbell Center 1865 Aldine Bender #Harvey
4,"Get out now Houston!
Don't shelter in place with rising water. Remember Katrina!
#houstonflood #Harvey 
#Texas 
Whe… https://t.co/6mIDteY0qR"
5,@TxDOTHoustonPIO: telling people to shelter in place #flooding #Harvey https://t.co/bqkBZMvsLp
6,Greenspoint residents MO Campbell Center shelter is still open. #Greenspoint #houstonflood #Harvey #HurricaneHarvey
7,Get list of current shelters on fema app https://t.co/g1CRyqfAeD.   #houstonflood #harvey #houston
8,A shelter in place order has been issued in Houston. Millions of people told not to leave their homes. @wsvn #Harvey https://t.co/aaYD6WckdY
9,Houston mayor Sylvester Turner needs to open more then 2 shelters. People are trapped by rising water.… https://t.co/wMpiAu0Blb
10,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/oXjbcmsmvn
11,"For the love of God, people, STAY HOME if your houses isn't flooded. #Harvey #houstonflood #shelterinplace https://t.co/00JR4vAe8l"
12,"Berry Bayou is a spot where some have sought shelter in their attics, as a last resort -- with an ax, to cut thru t… https://t.co/c887ZDk6Lf"
13,HPD had to rescue us and we are waiting to be taken to an unknown location. I'm assuming a shelter. #Harvey
14,Hope all took #Harvey seriously. Getting calls from friends that houses are flooded and they're taking shelter praying it's okay
15,"Car Wash offered shelter
from @Jeff_Piotrowski's plight,
Thru #Harvey's dark
&amp; dangerous night.
Still, a comfort to… https://t.co/VDVPncjV6b"
16,"League City just dispatched a structure fire on the east side, west side units sheltering in place due to tornado warning. #Harvey #glswx"
17,"#Harvey is turning me into a hobbit. I've been up long enough, I'm hungry for second dinner. #tornadowarning #hallwayshelter"
18,@GalvestonOEM @texasgov @GovAbbott  @LeagueCityTX where are emergency response teams and local shelter locations near santa fe tx? #Harvey
19,#Harvey is VERY real. It is so important to stay informed. Take shelter when advised and do not drive when your are… https://t.co/CS7NKHabeQ
20,"#Harvey: @BastropCntyOEM says 14”-16” of rain has fallen on #Bastrop, 45 people at Smithville shelter, several wate… https://t.co/2hN14gvAvy"
21,"#Harvey: @BastropCntyOEM says 14”-16” of rain has fallen on #Bastrop, 45 people at Smithville shelter, several wate… https://t.co/tnqrL7y2SM"
22,.@LeagueCityTX announces location of shelter #Harvey #GalvNews https://t.co/hKEmvHPc6Y https://t.co/P4uAY43HjU
23,"Just spoke w/ mayor of #Smithville on the phone - he says 30 homes flooded, many that have never flooded before; 45 people @ shelter #Harvey"
24,"Visit https://t.co/xEQzWosxNF for the latest FAQs, shelter info and more. #Harvey"
25,#Snakes 🐍seeking shelter during #HurricaneHarvey Get snake bite safety tips #Toxdoctips #Harvey #DrNoreen Fullstory… https://t.co/DFYVWQ2gxG
26,"Local news (KHOU) is reporting some people in South Houston are seeking shelter from the flood waters in their attic spaces.

#Harvey"
27,Texting/snapping KA Brothers in Houston and other #Harvey damaged areas. My best advice: shelter in place; keep talking with me.
28,@ValGalvNews Friendswood says fewer than a dozen people are being brought to shelters #GalvNew #Harvey
29,They have opened a shelter in #Friendswood for those stranded and having to be evacuated. #Harvey #HurricaneHarvery
30,If you need shelter from #Harvey and are in FW I have 2 rooms. Pets Welcome!! Free of charge.
31,Pasadena residents being told to shelter in place #Harvey @KHOU
32,City of Dickinson has issued a shelter in place. #Harvey #GalvNews https://t.co/uuVCqBvGfl
33,Hearing Hometown Heroes Park in League City opening as emergency shelter. Can anyone confirm? #Harvey
34,"Avoid the roads if possible, but if you require shelter from #Harvey visit one of these locations: #ATX #SMTX... https://t.co/cQKhVuJxsV"
35,"Don't attempt travel in #Houston. 4-6"" hr rainfall rates will likely lead to widespread flooding. Seek shelter. Get… https://t.co/PbYRENmGQO"
36,"Avoid the roads if possible, but if you require shelter from #Harvey visit one of these locations: #ATX #SMTX #SATX
https://t.co/cEb4b8TvBQ"
37,"Avoid the roads if possible, but if you require shelter from #Harvey visit one of these locations: #ATX #SMTX #SATX
https://t.co/RyDMtaBLj6"
38,"@FriendswoodCity has opened shelter at City's Activity Building, 416 Morningside Dr. #Harvey still bringing the rain! #KHOU11 #Harvey"
39,"We're monitoring conditions in Austin 24/7. Visit https://t.co/zVPMMUJpwk for the latest FAQs, shelter info and more. #Harvey"
40,"We're monitoring conditions in Austin 24/7. Visit https://t.co/WWDK7qdiRw for the latest FAQs, shelter info and more. #Harvey"
41,Friendswood has opened an emergency shelter on Morningside Drive #Harvey https://t.co/Qli1FVRQqh
42,"⚡️ “Hawk takes shelter in Houston man's taxi before Hurricane Harvey”

https://t.co/K5rEx6UshA
#Hawk #HurricaneHarvey #Harvey #Houston"
43,"Tornado warning, we are taking shelter now. #harvey"
44,"Israel and the #Jewish nation pray for the people of #Texas. 
We are here for you with shelter, food and faith.… https://t.co/ZsoJrWMTCQ"
45,Thankful to the guy who sheltered a scared and wayward hawk in Houston until a wildlife rehabber could step in. #Harvey
46,Live interview I did w/ @KXAN_News/@KXAN_Weather in #Rockport during #Huricane #Harvey on the damage at our shelter. https://t.co/4llLP6QxYL
47,"#Harvey evacuee shelter: ‘Everyone’s been helpful here.’: https://t.co/IqpOyWWp3H, https://t.co/6vcZQQhEbs https://t.co/tZBWkFKxmC"
48,.@GovAbbott @CBPSouthTexas @CustomsBorder: suspend immigration checkpoints now &amp; let EVERYONE shelter from #Harvey! https://t.co/wgltOCEh7W
49,District 4 Councilman @rey4sa talks about what's being provided at San Antonio's emergency shelters for #Harvey eva… https://t.co/LyTtQr0o3M
50,"🚨TIVOLI, TX 🚨
Just heard from my uncle after 14+ hrs. Everyone doing fine but HEAVY damage in Tivoli. Had to open ATHS for shelter. #Harvey"
51,"@NBCNews @ghoshworld he actually looks scared. glad he found a place to shelter, #Harvey"
52,Not sure if this is still the case? Anyone know if #Rockport shelter has been restocked? #Harvey2017 #Harvey… https://t.co/stsxK2j6uM
53,Please bring your pets inside/provide shelter from the flooding. Stay safe Houston. #Harvey
54,"#HurricaneHarvey #Harvey #HELP #RedCross #Shelter

The #RedCross is opening 2 shelters in Houston @ the... https://t.co/fz1PYbNcWn"
55,"i guess they have a different idea of shelter in place
 #harvey https://t.co/gAH1CXzG6F"
56,DO NOT go outside to look at the storm.  Dangerous lightning also occurring with this system.  Seek shelter indoors… https://t.co/flleYn6bWt
57,"My uncle's church served as refuge for those seeking shelter from #Harvey in #Refugio, #Texas. #txwx https://t.co/1l6hTZ65O1 @James_Barragan"
58,#HarrisCounty For those looking for emergency shelter in #Houston here is the list #Harvey https://t.co/sFK2UcfaJx
59,Follow our blog and https://t.co/E85hQ5hiGh for local flood shelter locations. #harvey https://t.co/574zlBHdaC
60,.@AldineISD MO Campbell Center in HD14O/HD141 has been set up as shelter for residents. #txlege #harvey https://t.co/ro8WtbQCgw
