,text
0,Damage to an RV and boat storage business in Houston suburb of Katy from suspected tornado. #Harvey https://t.co/1FeEiQsSQW
1,Does anyone have photo of the portobello village rv park directly behind this and the toy box storage across the st… https://t.co/qoTyprsw2g
2,"Hoping none of our neighbors have storm damage from #Harvey, but are here to help with your portable storage needs https://t.co/GL76lnhHDa"
3,"Too close to home that's the little storage in Katy
 #HurricaneHarvey #hurricane #harvey #Houston #KatyTX https://t.co/K25Va23Fqy"
4,"Dear @weatherchannel: The ships off of Galveston are oil storage, not ships 'waiting to dock' #Harvey"
5,"In Corpus Christi, #Harvey’s floodwaters could seep into massive oil and gas storage facilities. 
https://t.co/Vq31xZMFN7"
6,You might also consider other sources of renewable energy + battery storage for going foward #Hurricane #Harvey #Texas #gulfcoast
7,Filling up the #aquapod #emergencywaterstorage for the first time #Harvey #hurricaneharvey… https://t.co/SyBeUg3n1h
8,Meanwhile @MCO is expecting an influx of empty plains for safe storage when #Harvey hits the #Texas gulf coast.… https://t.co/56uGxAoCDY
9,TX and LA it's not too late to have your #selfstorage tenants add Tenant #Insurance before Hurricane #Harvey hits! https://t.co/TFpa3diOID
10,"Car is packed, stuff locked away in shipping/storage container.Heading to Austin.Praying we still have something to come home to. ❤️🙏#Harvey"
11,Our catastrophic loss team is on stand by for Hurricane #Harvey . If any of our #selfstorage locations are hit we will be on our way!
12,So. I have a lot of great furniture in storage in Port Aransas. Had a place there for a long time. I might have to drive to empty it #Harvey
13,Ppl in the path of #Harvey may not have access to refrigeration. Info on storage alternatives during an emergency:… https://t.co/KrRcXzCw8Z
14,Lightning from Hurricane #Harvey hits oil storage tank near Wildlife Management Area https://t.co/gTYPF3261r via @houstonchron
15,"HOV lanes are Metro Bus storage centers, keeping them safe #Harvey @KHOUSportsMatt @ Northeast… https://t.co/0RVaThOHwk"
16,According to @platts distillate cargos from US Gulf Coast to Northwest Europe&amp;the Med have all but halted due to #Harvey #storm #storage
17,Our three legged dog getting evacuated in a storage bin! #harvey https://t.co/ftSi7jLdBM
18,A #storage #pipeline &amp; #port round-up in the Texas Gulf Coast as Tropical Storm #Harvey continues:… https://t.co/iQh1INuW7g
19,".@RiceUniversity's Bedient: Right now, there are very few pump storage systems in Houston. #Harvey https://t.co/JI27AzwaEY"
20,".@RiceUniversity's Bedient: Right now, there are very few pump storage systems in Houston. #Harvey https://t.co/xXiwUXdjVQ"
21,I think the storage unit with our entire house might be flooded. Hope there is something salvageable. #Harvey #sucks
22,"If nothing else comes of the stupid storm, #Harvey has taught me the weakenss of cloud storage, streaming info and the Internet in general"
23,"Lightning from #Harvey struck oil storage tank next to a state wildlife park, sparking a fire &amp; spilling 5 barrels.
https://t.co/D8sSA3xsJI"
24,"A 150,000-barrel (6.3m gallon) storage tank tilts over, spills unspecified amount of gas. #Harvey latest https://t.co/efYh9n03Jc"
25,Shoutout to @ALANaid's #supplychain #volunteers for providing #transit #warehouse &amp; #coldstorage aid in #TX!… https://t.co/a7LHOOmvEe
26,#Harvey rain has dumped 11 trillion gallon of water - #LakeMead's maximum storage capacity is 10.5 trillion!… https://t.co/7Dj1BCtUaY
27,Latest video feed does not seem to show any flooding of storage units at this time. Telge is flooded so please stay… https://t.co/K2CgQWOSJ5
28,U-Haul offers 30 days free self-storage &amp; U-Boxes to Texans affected by #Harvey. Contact nearest participating stor… https://t.co/gLpmioywwu
29,Exxon Mobil says partially collapsed storage tank isn't a threat  #Harvey https://t.co/IaXmT9PwT6 via @houstonchron
30,NISTM has postponed its Galveston show (scheduled for September 13&amp;14) due to the catastrophic flooding from Tropical Storm #Harvey #storage
31,A large oil oversupply and high level of storage prior to #Harvey.
32,I just got an email from my storage room saying it may have flooded. Oh well I'm trying to downsize anyway. #Harvey
33,Natech is what we call it when an oil refinery/petrochemical storage facility releases its toxic contents during a flood. #Houston #Harvey
34,#Harvey #houstonflood #HurricaneHarvey just found out Cy-Fair storage went under. So if you had stuffs there.....
35,"My apartment is also packed in a first floor storage unit in Ft Bend, unsure if it flooded #Harvey"
36,Lightning from Hurricane #Harvey hits oil storage tank near Wildlife Management Area https://t.co/qyvYcjJLuB via @houstonchron
37,"FEMA is planning storage for 10,000 housing units. 2,000 already on hand, 4,000 more ordered (so far), a federal official tells #CNN #Harvey"
38,"Gulf Coast IT Pros, we are here to help.  #harvey #storagecraft #itdrc https://t.co/uj2MobzV1U"
39,Looking for ways to help those in need? Bring cardboard boxes or any type of storage containers to church tonight!… https://t.co/tjLdEPtX2I
40,How to care for families in @HoustonISD plus request for donation storage facilities in @FortBendISD: https://t.co/BvcdgTymFj #Harvey
41,Hurricane #Harvey points to a need for the creation of another large storage hub in the U.S. distant from Gulf Coast https://t.co/f8zWqCwtik
42,@DividendsMGR Ready to donate locking medication storage containers to center from Houston warehouse #HurricaneHarvey #HoustonStrong #Harvey
43,"This is getting very little press coverage AP story: ""Harvey topples storage tanks, crude oil leaks"" #harvey… https://t.co/zLuJ3VrDra"
44,"#Harvey floodwaters cause: Explosions at chemical plant #ArkemaSA 
Oil storage collapse 30k gal of crude oil #Harris
https://t.co/0ol0XSjLka"
45,"#maddow show last night about today's #Arkema explosion and laws deregulating storage hazardous chemicals. #Harvey
https://t.co/FoUhNEvxIM"
46,"#harvey Texas officials say floodwaters from Harvey toppled two oil storage tanks in south #Texas, spilling almost 30,000 gallons of crude"
47,"30,000 gallons of #crudeoil have spilled from two storage tanks. #Harvey #TexasFlood 

https://t.co/Rxg2TPgZHX https://t.co/rNaceN173P"
48,Volunteered @GRBCC before work 2nite met wonderful ppl This 2 week old bby was placed in storage container 2 evacua… https://t.co/6EOsj60PVx
49,"#Harvey Texas officials say floodwaters from Harvey toppled two oil storage tanks, spilling almost 30,000 gallons of crude #texas #oilspill"
50,"When I get back to Houston to collect the things I own currently in storage there, I'll be donating whatever I can. #Harvey"
51,We do have available #storage units. Offering one month free rent to anyone in need and affected by #Harvey.… https://t.co/UT11PPRXhO
52,"#Harvey toppled two @conocophillips #oil storage tanks, releasing about 30,000 gallons of crude oil. https://t.co/WiN66Wb4Q0"
53,"Volunteers at the Silsbee YYAFA loading water for storage at Kirby Gym, for later delivery to water-deprived areas… https://t.co/CQKvtRtM3d"
54,Mexican natural gas authority  lifted a state of alert imposed on the Sistrangas natural gas storage and transportation system amid #Harvey
55,Self-Storage Firms Lend a Helping Hand to Hurricane Harvey Victims - https://t.co/YduCCfOs1o #storage #harvey
56,#Arkema CEO: likely remaining storage containers at Crosby site will ignite over next few days. #Harvey #HoustonFlood #KHOU11
57,U- Haul is offering 30 days free storage for #HarveyRelief #Harvey 1-800-GO-UHAUL
58,"IEA ready to act, but sees no need to release #oil from strategic storage 
@IEA 
#OOTT #OPEC #shale #floods #Harvey… https://t.co/Civ3xjqg1O"
59,"No need for coordinated release of #oil stocks from strategic storage, says @IEA 
#Harvey #storm #hurricane #floods… https://t.co/GaYyp5azIo"
60,"Flooding caused by #Harvey has toppled two oil storage tanks, releasing 30,000 gallons of crude oil:... https://t.co/6cBLXqeDO1"
61,"Flooding caused by #Harvey has toppled two oil storage tanks, releasing 30,000 gallons of crude oil:… https://t.co/7LnUpcfgWL #green #ecof…"
62,"Flooding caused by #Harvey has toppled two oil storage tanks, releasing 30,000 gallons of crude oil:… https://t.co/TrKSNfXfyp"
63,We have 230M barrels in storage in the US right now. You're not going to face a shortage of gasoline due to #harvey
64,"Just checked storage unit containing my apt - dry, for now. Nearby Brazos River crests tomorrow morning. Heading to check on mom's #Harvey"
65,I'm not rich. Right now I'm washing clothes I've had in storage &amp; adding from our closets 2 donate. Heading to LA i… https://t.co/ixE23fdWJE
66,Six-hour wait for tanker trucks at fuel storage terminals as Harvey recovery continues https://t.co/n2QaWBearV… https://t.co/5FEeBRKFfZ
67,Cleaned out my closet and storage unit for our students who lost everything in #Harvey #HurricaneHarveyRelief
68,#Arkansas business assisting with #Harvey #victims who are relocating they are statewide storage and national movin… https://t.co/WJjKqySjuo
69,"Sorry, finally #harvey just revealed #issues that have so little to do with #climatechange: #toxic #wastes #storage https://t.co/N7uS3rDzjW"
70,"IEA ready to act, but sees no need to release #oil from strategic storage 
@IEA 
#OOTT #OPEC #shale #floods #Harvey https://t.co/C0xpnZYq5G"
71,Team @fairwaybaptist in the worship center we prepared for storage of 3 tractor trailers of relief that will be her… https://t.co/v11HIKHrtw
72,Weight room converted into a storage facility for donations in Rockport. #txhsfb @callerdotcom #Harvey https://t.co/99UBNAoAka
73,"Oct LOOP Sour storage cleared at 20 cents/b for 2,400 CACs, the highest since May. More on USGC #oil after #Harvey… https://t.co/RNnejohZkj"
74,Self-Storage Facilities Begin to Recover After Hurricane Harvey - https://t.co/SBqqdVVcay #harvey #storage
75,Crude #oil storage costs rise in LOOP's first auction following #Harvey. Learn more on The Barrel blog… https://t.co/D7H8dkPvjE
76,Handy tips on how to store items after #Harvey to ensure everything you put into storage stays well-preserved.… https://t.co/jgWbwQlDWI
77,"Flyover footage of #Harvey impact on oil &amp; gas storage, refineries, flaring, mass housing damage.

h/t Steven Gute… https://t.co/Sq5upGdJ5Z"
78,"Red Cross says it has run out of storage for #Harvey donations, suggests: ""save it for #Irma."""
79,"Read the blog for #oil #refining, prod, transport, storage &amp; #gasoline dmnd insight as #Harvey recovery begins #OOTT https://t.co/VWWX6lGqsn"
80,"#Harvey updates:

Today: helped move salvageable items into storage units and played how much can you fit in a… https://t.co/By0r3cckHm"
81,"#Harvey Updates:
Sun-cleaned storage for victims to put items in until they have a home again-stopped at charity ev… https://t.co/ODKWSnGNjZ"
82,"#Harvey victims need totes n containers 4 clothes we need to store, any info for where storage containers might be donated?? #khou #abc13"
83,"If you're bringing supplies to #Houston for #Harvey victims, plastic storage bins are desperately needed. Stores completely out."
84,"Upload photos to cloud storage TODAY. Include pics of legal docs. If you ever have to flee, one less thing to bring… https://t.co/WnYpQsGHbg"
85,"@PhillyJoeD : #TX #Arkema problem tip of iceberg re chemical storage hazards
#Harvey
https://t.co/4kkT2RYvDn"
86,"24+ storage tanks holding crude oil/gasoline/contaminants failed in #Harvey, revealing major storm vulnerabilities~… https://t.co/Ejd15jwTbK"
87,@PeopleConcerned suit against @EPA provides opportunity for storage tank regulation needed after #Harvey… https://t.co/3O02Spinrv
88,Big demand and tightening supply for self-storage businesses after Harvey https://t.co/2lwGmOGTMZ #hounews #harvey
89,Check out this guide for important information about underground storage tanks. #Harvey #Irma https://t.co/kWVFgsNK30
90,Big demand and tightening supply for self-storage businesses after #Harvey (via @kfeser) https://t.co/TH2u06YX0R
91,Closetbox is offering free home pickup &amp; free month storage for Houston.  https://t.co/JbMTsxVf62  #Harvey #storage #HoustonStrong
92,Natural disasters like #Harvey show need for backup storage.This industry continues to grow. https://t.co/Xp0w96Ncrl
