,text
0,"@cspanwj After 8 years of a poor economy people don't have transportation to get out, very sad #Harvey"
1,"Many people stay because they're elderly, disabled, homeless, or low on $$$ for transportation/hotel. #HoustonFlood #Harvey"
2,@travis_b89 this was my mode of transportation #harvey #notmyhurricane https://t.co/Px1RrW7lyB
3,"If you use public transportation, please consider following these instructions/accounts for up-to-date info!… https://t.co/NkyKnEps1d"
4,"@WilDonnelly Some are too sick to travel, have no transportation, people to stay with, $s for hotel, eating out, pe… https://t.co/lIrywf9CVF"
5,not everyone CAN evacuate. It costs $$. U need transportation &amp; have to be healthy enough to travel. ck ur privilege before u judge #Harvey
6,"I wonder how many people in the path of 
#Harvey don't have access to a car or public transportation and thus can't evacuate"
7,".FYI #Galveston county residents who need transportation to a shelter, here's the latest #HurricaneHarvey #Harvey… https://t.co/AVvzv3NaGG"
8,Those on the Texas coast relying on prayers for aid and comfort should rely instead on northbound transportation. #Harvey #ScienceMatters
9,#Harvey to cause disruptions in #freight transportation in the coming days; importers using So. TX ports should exp… https://t.co/FsrkhgC19h
10,Hurricane #Harvey to bring most intense storm parts of US have seen in 12 years. #shipping #transportation… https://t.co/TZpKJ6ccBM
11,#BREAKINGNEWS: #Texas Army National Guard ground transportation teams have been activated to support local agencies… https://t.co/DprRwcDgJJ
12,"I left town for Hurricane Rita but I'm staying home this time for #Harvey, with preparedness. Canoe is ready as alternative transportation."
13,Employees who use that service should make alternate transportation plans. For more #Harvey updates go to:… https://t.co/rzCnsZu5K4
14,"Lack of money, lack of transportation, not thinking the storm will be as bad as they say, thinking they can withsta… https://t.co/XfQZOfnfYT"
15,@HoustonISD &amp; @HISD_Supe is  their going to be school on Monday? If so is @HISDBUS transportation going to be running? #Harvey
16,TS #Harvey inbound to USGC - read more about refineries &amp; transportation fuels infrastructure in the path here… https://t.co/sqZIsq7i0h
17,Is there a way for @Uber @lyft 2start an emergency boat pick-up or transportation pick up service 4those stranded in #Harvey affected areas?
