,text
0,@TracyLBarber is on the other side of the bed with her iPad recruiting @SBDRnet childcare volunteers. #Harvey
1,"This great group does so much. Touched that they also had volunteers up in shifts all night, just praying.  #Harvey… https://t.co/f7YxEkvyUO"
2,"1 Big Island volunteer deployed to TX in response to #Harvey and 5 other volunteers from the Big Island, Maui &amp; Oah… https://t.co/NW5ozZDkLc"
3,[ICYMI] Local volunteers to assist victims of Hurricane #Harvey https://t.co/CGVE7zNHRD https://t.co/KjaK2Bbr4i
4,@realDonaldTrump These volunteers didn't help with #Harvey for YOU - you were too busy playing golf to care-they di… https://t.co/CJsVY0QxMI
5,"Our volunteers visited Delco shelter in #Austin today, making new friends. We helped two older couples find temp homes to stay in. #Harvey"
6,#DonaldTrump thanks Hurricane #Harvey volunteers https://t.co/2b9Eg2PJKq
7,"Thank you to first responders, community volunteers, and businesses who are helping evacuees. Stay safe, friends!… https://t.co/l2MhprePyo"
8,"Our volunteers met a couple displaced by #Harvey from Victoria, with a car but no gas money to get home. Need $60. Let us know. #Austin"
9,"One volunteer says the Red Cross is asking for 900 more volunteers now &amp; 4,000 more in the coming weeks. #Harvey"
10,"Folks @safoodbank were surprised, grateful that Pres. Trump thanked volunteers in his tweet. @COSAGOV @News4SA… https://t.co/MtLmZaHB7C"
11,"With all due respect, don't send prayers, send food, water, shelter, supplies and volunteers to those who need it. #Houston #home #Harvey"
12,From this morning: volunteers assemble boxes of food for senior citizens and evacuees at @safoodbank #Harvey https://t.co/cc1CQ5S3Cp
13,The #RedCross of the Mid-South needs #volunteers for #hurricanerelief https://t.co/ISqxXKVTy6 via @3onyourside #HurricaneHarvey #Harvey
14,"Email to Red Cross disaster volunteers, calling for aid for Texas. Need 4,000 volunteers to be there by Wednesday.… https://t.co/pNVhe1vfhB"
15,"Urgent need for volunteers, donations: How you can help victims of #HurricaneHarvey https://t.co/SNcTUOTMy0 @ksatnews #sanantonio #harvey"
16,"To be clear, disaster relief is duty of government, not volunteers. See: Man Against the River (1937) #Harvey  https://t.co/jouDk8nrmP"
17,@MayorAdler says Red Cross has plenty of volunteers but needs funds. You can text REDCROSS to 90999 to donate $10. #Harvey
18,"More importantly we are concerned about victims, volunteers anyone affected in Texas #Harvey https://t.co/caS91g02aP"
19,"Moments ago, President Donald J. Trump tweeted his thanks to the volunteers helping in the wake of #Harvey.… https://t.co/cmgUdMv2ea"
20,It just doesn't get any better than this! 46 years of marriage &amp; deploying to #Harvey together #volunteers https://t.co/vmAyQK9iCv
21,You guys and all the volunteers are the true Patriots... #Harvey https://t.co/z6qw3Ks2K4
22,Austin Animal Center is manning the animal area at the shelter. Thanks to the volunteers spending their free time h… https://t.co/jsTxguBXzg
23,"@realDonaldTrump You mean except the Hispanic, Muslim, and LGBTQ volunteers right. Yes, I'm sure there are some of… https://t.co/6rXK7dgBbt"
24,Our great city &amp; volunteers pulling together. #Harvey https://t.co/Mt1lTn970z
25,#TXwx #Harvey #Volunteering #News/ #RedCross urgently need Cent #Texas volunteers to help #HurricaneHarvey evacuees https://t.co/xyWorGJTK9
26,#Harvey #volunteers https://t.co/G0R2ausFVm
27,#Austin  #austinpride 🌈 #CentralTexas Austin #Harvey #HurricaneHarvery volunteers ❤️Red Cross • Pets • Food Bank --&gt; https://t.co/4wBeaD1ucE
28,#Austin  #austinpride 🌈 #CentralTexas Austin #Harvey #HurricaneHarvery volunteers ❤️ https://t.co/7ygKrmp0WQ
29,Update: 31 @RedCrossSC volunteers have been deployed to areas affected by Hurricane #Harvey. #CHSNews #SCNews
30,Update: 31 @RedCrossSC volunteers have been deployed to areas affected by Hurricane #Harvey. #CHSNews #SCNews
31,"Clean up crew volunteers for Rockport, Port Lavaca, Refugio, Aransas Pass here in SE Texas? #HurricaneHarvery… https://t.co/YnBRVzSMVR"
32,"The need for volunteers to help with #Harvey aftermath is DIRE! If you would like to volunteer, please reach out to your local Red Cross."
33,Lots of volunteers here to train today! There's still time to join us at 3642 E Houston St to register as a shelter… https://t.co/Ak8aUlhYd0
34,#RedCross #volunteers from across the US are in Houston to help the people of the Gulf Coast. #Dedication #Harvey… https://t.co/FQAme7eOe2
35,"Thank you, first responders, volunteers, informants and others who are doing their part to help citizens and save l… https://t.co/hQchXOqRYW"
36,"Lou, House Park manager, keeps watchful eye over #AISDProud field and facilities—coordinating volunteers, additiona… https://t.co/R6RD5IdvVa"
37,Anybody else know of local groups or volunteers helping out with #Harvey relief efforts? https://t.co/3OArdLvB0K
38,"Shout out to all the volunteers, emergency preparedness crews, and 1st responders working to contain #Harvey's damage &amp; get ppl to safety."
39,The Coastal Bend Disaster Recovery Group will need donations and volunteers in the wake of #Harvey. https://t.co/8fbG2WhPlN #txwx #ccwx
40,So proud of my friend @snefaniearc and all of the @RedCross volunteers providing help and support for everyone in… https://t.co/SEnIoXDaxL
41,@CenTexRedCross has announced additional training opportunities today for #Harvey shelter volunteers:… https://t.co/O1m70a3zDe
42,@CenTexRedCross has announced additional training opportunities today for #Harvey shelter volunteers:… https://t.co/2v1G6bK4We
43,The need for volunteers will be great in South Texas. But let the First Responders get in an assess. Do not self deploy. .   #Harvey
