,text
0,"A TV station in Houston, KHOU, is moving their broadcast upstairs as their studio begins to take on water. #Harvey https://t.co/KUr0EX4XnR"
1,The CBS affiliate in Houston is starting to take in water. #txwx #Harvey https://t.co/wQOlCqynAp
2,@FoxNews a truck driving through water is not news. Road might buckle &amp; people hurt.Is #FakeNews.How ab everything is ok keep safe?! #Harvey
3,"If you are in Houston and the water is rising at your house, DO NOT go to the attic, GO TO YOUR ROOF. Please be saf… https://t.co/npzWHHh5Wv"
4,#txwx 911 is urging  folks in Houston trapped in homes by flood waters to get ON TOP of roofs and call 911 so you can be rescued!!! #Harvey
5,@realDonaldTrump You know what I recommend ? Sending help to Texas! We have houses completely covered in water. ?#Harvey
6,"📌 @KHOU TV is starting to see water enter their STUDIO, and preparing to move to their second floor. #txwx #harvey"
7,One of America's biggest cities is basically under water today. #houstonflood #harvey
8,water entering our station @KHOU  #houston #harvey https://t.co/7AmCfv4CXs
9,@KHOU tv station in #houston starting to get water on their 1st floor. They are having to move to 2nd floor to keep live broadcast #harvey
10,Some Houston news stations receiving water as they are broadcasting. #Harvey
11,@KHOU moving studio up makeshift shop on 2nd floor due to water on Fl. #1 #Houston #Harvey #KHOU11
12,"Take bottled water and if possible and a tool to cut through your roof, should it be necessary, city officials say #Harvey"
13,That's 60+ cm of water for us using the metric system. #Harvey https://t.co/7AEWmipMpf
14,"Flooding conditions continue to worsen in Friendswood, and emergency crews are conducting water rescues but are inundated with calls #Harvey"
15,"@meetjessmarie People in Houston evacuating themselves through rising water &amp; claiming 911 won't answer.
Remember K… https://t.co/rwgQUrwwqi"
16,"@LCRA The @ATXfloods map reports about 400 low water crossings are closed. Majority of those located in Caldwell, B… https://t.co/62eSH6eN3p"
17,my whole city is underwater #harvey
18,"More than 1,000 water rescues in greater #Houston area as #Harvey continues thru TX. LIVE COVERAGE from @KPRC2 ➡️ https://t.co/gCMHqjb58O"
19,Just watched someone drive into the flood water on Allen Pkwy. 😰#TurnAroundDon'tDrown #Harvey https://t.co/l5NDhXPbnh
20,"Get out now Houston!
Don't shelter in place with rising water. Remember Katrina!
#houstonflood #Harvey 
#Texas 
Whe… https://t.co/6mIDteY0qR"
21,@TimBuckleyWX Watching #Harvey coverage. Why are ppl out trying to drive thru deep water in Houston? I just don't get it.
22,"If the water in your house is not life-threatening, stay inside. It's safer. #harvey #flooding https://t.co/mYejWmjVVg"
23,This is Westpark at Post Oak. Camera is almost under water. #harvey https://t.co/nyqGAv93KB
24,We are still safe here in my area of Cypress. Looks like a couple inches of water has pooled in the cul-de-sac just slowly draining. #Harvey
25,"Please help spread the word...Do NOT go into your attic if water is rising in ur home, get on your roof so you can be rescued #Harvey #flood"
26,"Major disaster unfolding in #houston. 20"" of rain with much more coming. 1000+ water rescues. #harvey https://t.co/dE0MGy4Laj"
27,"WX NEWS : People are climbing into attics to escape the rising waters caused by #HurricaneHarvey #Harvey 
 https://t.co/ZqhwfSJq6B"
28,Over 170 high water spots in Houston. Hobby Airport closed. #HurricaneHarvey #Harvey #houstonflood #prayforHouston https://t.co/P9RlqBjX8p
29,The waters are rising so quickly in #Houston that people are tweeting #HarrisCounty @SheriffEd_HCSO for help.… https://t.co/jadpnaI0Wd
30,People climbing into attics to escape rising water https://t.co/soeYWJzDZM via @ABC13Houston #Harvey #Texas
31,Flash Flood Emergency for Catastrophic Life Threatning Flash Flooding across the Houston Metro. Over 1000 water rescues #Harvey #TXwx #Texas
32,#harvey Officials tell people in Houston to get on roof if water becomes life threatening #houston #flood #houstonflooding
33,Prayers for the people of Houston. My cousin reports 6 in. water in her house already &amp; it is still raining. #Harvey
34,"Elan medical center apts just about full of water and about to breach 1st floor level
#Harvey #Harvey2017… https://t.co/p46XLwb3cc"
35,"Houston: people swimming in neck deep water to safety. Heartbreaking &amp; Disturbing.
@wdsu @MargaretOrr @KweilynWDSU #Harvey #houwx #txwx"
36,"Do NOT stay in attic, you will get trapped. Get on roof if water threatens highest level of home. #HurricaneHarvey… https://t.co/XzsyWis2bw"
37,"#Harvey EPIC flooding now, water rescues underway in #Houston area. Pre-landfall forecast 30-40"" of rain was accura… https://t.co/XoWF4qdB9E"
38,Emergency officials are advising Houstonians trapped in floodwaters in their homes to head to the top of their roof… https://t.co/HHaJWNt8G0
39,#Harvey Do not get trapped in your attic. Many died in Katrina this way. When the floodwaters start rising - go on… https://t.co/LeYDExamnS
40,#Harvey claims second fatality as floodwaters rise in #Texas https://t.co/z5dKGSXNs9 #Hurricane #usa
41,"Seeing Houston residents being evacuated in water reminds me of Hurricane Katrina.
Help Mayor Sylvester Turner.
#houstonflood #Harvey #Texas"
42,"Houston is under water.

#HurricaneHarvey #Harvey"
43,Update: water at 3 to 4 feet on Sterret &amp; William St. near downtown #Houston  #houstonflood #houwx #Harvey… https://t.co/vgulJQKf3n
44,NOW: #TXDOT reporting high water across SE #Texas - blue dots show closures b/c of #flooding. #Houston… https://t.co/vrpKGvdy4S
45,"Harvey claims second fatality as floodwaters rise inTexas
@Harveyofficial
#floodwaters
#Texas #Harvey… https://t.co/kcgcCBYhG0"
46,My dad just sent these from his apartment… not sure how high this water is but it's scary. The gazebo one is from e… https://t.co/QINQ1tbbzs
47,Watching people in neck-deep water on @weatherchannel. They are going into deeper water to head home to help family. #Houston #Harvey
48,"Sobering wordage in this Flash Flood Emergency warning. 5 fatalities, 1000+ water rescues. Awful, w/ no end in sigh… https://t.co/BD4uAxRIJs"
49,We are live on Wilderness Dr in College Station. This area is blocked off due to lots of water on the road.… https://t.co/SkqeA9XGtW
50,"#Harvey Floodwaters rising rapidly in Houston, emergency numbers stretched, more areas losing power #houston #flood #houstonflooding"
