text,label
_ªêÓ_ª___ª_ô#Harvey Please donate to @RedCross They have a lot of work to do. Donate blood too. Every drop counts.,Donation
.@Airbnb offering free temporary homes to people displaced by #Harvey https://t.co/eTxZGpnE5f,Relocation
".@FedEx commits $1 million in cash, services to #HurricaneHarvey relief https://t.co/bMGaGSfHc9 #TeamFedEx https://t.co/hFb8jNGCeu",Money
.@GovAbbott comforts a mom displaced from #Victoria to #Austin by #Harvey. #LoveTexas (from @KXAN_News) https://t.co/9SuiMpZasw,Relocation
.@GRBCC becomes massive #harvey emergency shelter in downtown Houston. Here are some images https://t.co/sFC6WHTRiI,Relocation
".@NorthwesternLaw students killed it yesterday, selling out all goods to raise $ for those affected by_—_ https://t.co/3ctvBoNbsR",Money
.@RedCross volunteers in Houston unloading pallets and loading goods on to relief vehicles #HurricaneHarvey https://t.co/mub1k8r1gH,Volunteering
.@URJGFC is 1 of at least 2 camps reopening to help displaced families in TX - u can support their efforts_Ñ_ https://t.co/AfgseeYOZ8,Relocation
.@WeAreBlood has a Type O blood shortage in Central Texas ahead of Hurricane #Harvey. Find out where to #donate:_Ñ_ https://t.co/tIVBm9kDhL,Donation
.#Jewish summer camps are reopening to host #HoustonFlood victims (story via @JTA) https://t.co/XDCgStIiBt,Relocation
.ATXFlood can help you if you've been displaced by #Harvey and need somewhere to stay.,Relocation
".FYI #Galveston county residents who need transportation to a shelter, here's the latest #HurricaneHarvey #Harvey_Ñ_ https://t.co/AVvzv3NaGG",Transportation
".FYI #Galveston county residents who need transportation to a shelter, here's the latest #HurricaneHarvey #Harvey_Ñ_ https://t.co/AVvzv3NaGG",Transportation
"""Mattress Mack"" using his stores as #Harvey shelters w/ food, water (&amp; mattresses) for 100s of ppl https://t.co/fGfYCIGqaM via @houstonchron",Relocation
"""We have comforters and clothes for the larger people, everybody is not cute and small."" #Harvey #HoustonFlood_Ñ_ https://t.co/ppU9cIh9kw",Donation
"(1/3) The best way to help those affected by disasters is to donate money, not goods like clothing &amp; water. #HurricaneHarvey #DisasterRelief",Money
[ICYMI] Local volunteers to assist victims of Hurricane #Harvey https://t.co/CGVE7zNHRD https://t.co/KjaK2Bbr4i,Volunteering
"@Airbnb @RedCross @FeedingTexas You can help animals displaced by #Harvey via local Humane Societies_Ò€Houston:_Ñ_ https://t.co/QLQApczmRh",Animals
@batami @paulbernstein @PrizmahCJDS @AVICHAIFDN with people needing extended relocation from #Harvey. Happy 2 help organize if a good idea.,Relocation
@BerryCenter is accepting volunteers at 7am #Harvey https://t.co/1YhWQHJNpO,Volunteering
@BexarCounty are you all accepting volunteers? or do you know of anywhere in san antonio where volunteers are neede_Ñ_ https://t.co/SMxPmVpnBQ,Volunteering
@BillyBaldwin Does anyone know how to send clothes to those in crisis from #Harvey ?,Donation
@Chicos Houston needs donations of plus size clothes #Harvey,Donation
"@cspanwj After 8 years of a poor economy people don't have transportation to get out, very sad #Harvey",Transportation
@DallasShelter What extra items do you need to help in sheltering evacuated dogs from #Harvey?,Animals
"@deidakkaalti @pavakkai You guys good down there? My house is open for you, provided you bring food along_™ÈÜ #Harvey",Relocation
@FirstCommCU ECUC Member CU offers services to members hit by #HurricaneHarvey #HoustonStrong https://t.co/hSRqeXLmmZ,Volunteering
"@jewels_09 @RedCross Contact @RedCross, @FeedingTexas or any local food banks in your area. Or find blood drive!Don_Ñ_ https://t.co/s1K5NHIAoS",Donation
"@JoelOsteen offers prayers, but can't corral the resources of his mega-church to offer shelter or food to the #Harvey victims? #Christian",Relocation
@JoelOsteen You should open your Lakewood Church to these displaced people.  It is in Houston correct?  Jesus would do it Joel. #Harvey,Relocation
@lanebryant Houston needs donations of plus size clothes #Harvey,Donation
@LydaKrewson what are we doing in STL to help our friends down south? Will we offer relocation during rebuild? #Harvey #Houston,Relocation
